"Refid","agent","ShortBibliography","FullBibliography","Author","Title","Abstract","publicationYear"
42954,"FMD - Foot and Mouth Disease","Stenfeldt, et al. 2020. ","Stenfeldt, C., Bertram, M.R., Smoliga, G.R., Hartwig, E.J., Delgado, A.H., Arzt, J. (2020).  Duration of Contagion of Foot-And-Mouth Disease Virus in Infected Live Pigs and Carcasses Frontiers in Veterinary Science, 7(#issue#),  #Pages#","Stenfeldt, C., Bertram, M.R., Smoliga, G.R., Hartwig, E.J., Delgado, A.H., Arzt, J.","Duration of Contagion of Foot-And-Mouth Disease Virus in Infected Live Pigs and Carcasses","Data-driven modeling of incursions of high-consequence, transboundary pathogens of animals is a critical component of veterinary preparedness. However, simplifying assumptions and excessive use of proxy measures to compensate for gaps in available data may compromise modeled outcomes. The current investigation was prospectively designed to address two major gaps in current knowledge of foot-and-mouth disease virus (FMDV) pathogenesis in pigs: the end (duration) of the infectious period and the viability of FMDV in decaying carcasses. By serial exposure of sentinel groups of pigs to the same group of donor pigs infected by FMDV A24 Cruzeiro, it was demonstrated that infected pigs transmitted disease at 10 days post infection (dpi), but not at 15 dpi. Assuming a latent period of 1 day, this would result in a conservative estimate of an infectious duration of 9 days, which is considerably longer than suggested by a previous report from an experiment performed in cattle. Airborne contagion was diminished within two days of removal of infected pigs from isolation rooms. FMDV in muscle was inactivated within 7 days in carcasses stored at 4oC. By contrast, FMDV infectivity in vesicle epithelium harvested from intact carcasses stored under similar conditions remained remarkably high until the study termination at 11 weeks post mortem. The output from this study consists of experimentally determined data on contagion associated with FMDV-infected pigs. This information may be utilized to update parameterization of models used for foot-and-mouth disease outbreak simulations involving areas of substantial pig production. © Copyright © 2020 Stenfeldt, Bertram, Smoliga, Hartwig, Delgado and Arzt.","2020"
43431,"FMD - Foot and Mouth Disease","Madhanmohan, et al. 2016. ","Madhanmohan, M., Yuvaraj, S., Manikumar, K., Kumar, R., Nagendrakumar, S.B., Rana, S.K., Srinivasan, V.A. (2016).  Evaluation of the Flinders Technology Associates Cards for Storage and Temperature Challenges in Field Conditions for Foot-and-Mouth Disease Virus Surveillance Transboundary and Emerging Diseases, 63(6),  675","Madhanmohan, M., Yuvaraj, S., Manikumar, K., Kumar, R., Nagendrakumar, S.B., Rana, S.K., Srinivasan, V.A.","Evaluation of the Flinders Technology Associates Cards for Storage and Temperature Challenges in Field Conditions for Foot-and-Mouth Disease Virus Surveillance","Foot-and-mouth disease virus (FMDV) samples transported to the laboratory from far and inaccessible areas for diagnosis and identification of FMDV pose a major problem in a tropical country like India, where wide fluctuation of temperature over a large geographical area is common. Inadequate storage methods lead to spoilage of FMDV samples collected from clinically positive animals in the field. Such samples are declared as non-typeable by the typing laboratories with the consequent loss of valuable epidemiological data. In this study, an attempt was made to evaluate the robustness of Flinders Technology Associates (FTA) cards for storage and transportation of FMDV samples in different climatic conditions which will be useful for FMDV surveillance. Simulation transport studies were conducted using FTA impregnated FMDV samples during post-monsoon (September–October 2010) and summer season (May–June 2012). FMDV genome or serotype could be identified from the FTA cards after the simulation transport studies with varying temperature (22–45°C) and relative humidity (20–100%). The stability of the viral RNA, the absence of infectivity and ease of processing the sample for molecular methods make the FTA cards an useful option for transport of FMDV genome for identification and type determination. The method can be used routinely for FMDV research as it is economical and the cards can be transported easily in envelopes by regular courier/postal systems. The absence of live virus in FTA card can be viewed as an advantage as it restricts the risk of transmission of live virus. © 2015 Blackwell Verlag GmbH","2016"
43926,"FMD - Foot and Mouth Disease","Wijnker, et al. 2012. ","Wijnker, J.J., Haas, B., Berends, B.R. (2012).  Inactivation of foot-and-mouth disease virus in various bovine tissues used for the production of natural sausage casings International Journal of Food Microbiology, 153(1-2),  237","Wijnker, J.J., Haas, B., Berends, B.R.","Inactivation of foot-and-mouth disease virus in various bovine tissues used for the production of natural sausage casings","Bovine intestines, bladders and oesophagus are used for the production of natural casings (beef casings) as edible sausage containers. Derived from cattle experimentally infected with FMDV (initial dosage 10 4 TCID 50/mL, strain A Iran 97), these beef casings were treated with sodium chloride (NaCl) or phosphate supplemented salt (P-salt). In addition, different in-vitro experiments using beef casings were done on a small scale with other FMDV strains (A Turkey 06, C-Oberbayern and O 1 Manisa) as proof of principle.Based on the combined results of the in-vivo and in-vitro experiments, it can be concluded that the storage period of 30. days at 20°C in NaCl is sufficiently effective to inactivate a possible contamination with FMDV in beef casings and that the usage of P-salt does not clearly enhance the inactivation of FMDV infectivity.Storage of salted beef casings at about 20°C for 30. days is already part of the Standard Operating Procedures (included in HACCP) of the international casing industry and can therefore be considered as a protective measure for the international trade in natural casings. © 2011 Elsevier B.V.","2012"
44086,"FMD - Foot and Mouth Disease","Guan, et al. 2010. ","Guan, J., Chan, M., Grenier, C., Brooks, B.W., Spencer, J.L., Kranendonk, C., Copps, J., Clavijo, A. (2010).  Degradation of foot-and-mouth disease virus during composting of infected pig carcasses Canadian Journal of Veterinary Research, 74(1),  40","Guan, J., Chan, M., Grenier, C., Brooks, B.W., Spencer, J.L., Kranendonk, C., Copps, J., Clavijo, A.","Degradation of foot-and-mouth disease virus during composting of infected pig carcasses","The objective of this study was to investigate the inactivation and degradation of foot-and-mouth disease (FMD) virus during composting of infected pig carcasses as measured by virus isolation in tissue culture and by real-time reverse transcriptase polymerase chain reaction (RRT-PCR). Three FMD-infected pig carcasses were composted in a mixture of chicken manure and wood shavings in a biocontainment level 3 facility. Compost temperatures had reached 50deg;C and 70°C by days 10 and 19, respectively. Under these conditions, FMD virus was inactivated in specimens in compost by day 10 and the viral RNA was degraded in skin and internal organ tissues by day 21. In comparison, at ambient temperatures close to 20°C, FMD virus survived to day 10 in the skin tissue specimen from the pig that had the highest initial level of viral RNA in its tissues and the viral RNA persisted to day 21. Similarly, beta-actin mRNA, tested as a PCR control, persisted to day 21 in specimens held at ambient temperatures, but it was degraded in the remnants of tissues recovered from compost on day 21. Results from this study provide evidence that composting could be used for safe disposal of pig carcasses infected with FMD virus.","2010"
44239,"FMD - Foot and Mouth Disease","Wijnker, et al. 2007. ","Wijnker, J.J., Haas, B., Berends, B.R. (2007).  Removal of foot-and-mouth disease virus infectivity in salted natural casings by minor adaptation of standardized industrial procedures International Journal of Food Microbiology, 115(2),  214","Wijnker, J.J., Haas, B., Berends, B.R.","Removal of foot-and-mouth disease virus infectivity in salted natural casings by minor adaptation of standardized industrial procedures","Intestines are used for the production of natural casings as edible sausage containers. Derived from animals (pigs and sheep) experimentally infected with FMDV (initial dosage 107.3 PFU/ml, strain O1Kaufbeuren), these natural casings were treated with sodium chloride or a phosphate salts/sodium chloride mixture and the residual FMDV titres measured. After storage at about 20 °C, no remaining infectivity was found after either treatment, whereas casings stored at 4 °C still contained infectivity. Storage of salted casings at about 20 °C for 30 days is already part of the Standard Operating Procedures (included in HACCP) of the international casing industry and can therefore be considered as a protective measure for the international trade in natural casings. © 2006 Elsevier B.V. All rights reserved.","2007"
44256,"FMD - Foot and Mouth Disease","Aly, et al. 2007. ","Aly, S.A., Gaber, A.S. (2007).  Inactivation of foot and mouth disease virus in milk and milk products Milchwissenschaft, 62(1),  3","Aly, S.A., Gaber, A.S.","Inactivation of foot and mouth disease virus in milk and milk products","Buffalo, cow, sheep and goat raw milk samples (30 each) were examined for Foot and mouth disease virus (FMDV). The mean titer value was 103 ±0.02, 103 ± 0.01, 104 ± 0.0 3 and 103 ± 0.10 PFU/ml, respectively. Thermal processing of milk at 50°C for 10 min, long-time pasteurization at 63°C for 30 min, short-time pasteurization 72°C for 15s, double set pasteurization at 72°C for 30 s, ultra-heat treatment (UHT) at 135°C for 1 s and sterilization at 121°C for 15 min were applied. Only UHT and double set pasteurization proved to be a reliable method for inactivating the virus in milk. Cheese manufacture could not guarantee the complete inactivation of FMD virus: however, the virus survived curing for 90 d (pH 4.9) but not for 120 d (pH 4.5) during refrigerated storage. Additionally, FMD virus was completely inhibited in yoghurt and could not be detected either when fresh or during cold storage (pH 4.4).","2007"
44519,"FMD - Foot and Mouth Disease","Dekker, et al. 1998. ","Dekker, A. (1998).  Inactivation of foot-and-mouth disease virus by heat, formaldehyde, ethylene oxide and <U+03B3> radiation Veterinary Record, 143(6),  168","Dekker, A.","Inactivation of foot-and-mouth disease virus by heat, formaldehyde, ethylene oxide and <U+03B3> radiation","","1998"
44593,"FMD - Foot and Mouth Disease","McCOLL, et al. 1995. ","McCOLL, K., WESTBURY, H., KITCHING, R., LEWIS, V. (1995).  The persistence of foot-and-mouth disease virus on wool Australian Veterinary Journal, 72(8),  286","McCOLL, K., WESTBURY, H., KITCHING, R., LEWIS, V.","The persistence of foot-and-mouth disease virus on wool","SUMMARY Five Suffolk sheep, held in a high-security isolation room, were exposed for 2 hours to the aerosol of 3 mature pigs that had been infected with foot-and-mouth disease virus (FMDV), strain O1-BFS. The fleeces of 3 of the sheep were contaminated with FMDV at 2 days post exposure (dpe), while at 5 dpe the fleeces of all 5 sheep were more extensively, and more heavily, contaminated. The persistence of FMDV on contaminated wool was examined in vitro using multiple 0.5 g samples of Merino wool that were each contaminated with one of 3 strains of FMDV in tissue-culture medium: O1-BFS, O-Morocco (O-MOR 9/91) or an Asia 1 strain (TAI 1/90). Wool samples were held at either 4°C, 18°C or 37°C, and decay curves were established for each virus at each temperature. These curves predicted that O1-BFS, O-MOR 9/91 and TAI 1/90 would fall below detect-able levels at 72, 70 and 48 days post contamination (pc), respectively, for wool stored at 4°C; at 11, 12 and 12 days pc, respectively, for wool stored at 18°C; and at 57, 68 and 33 hours pc, respectively, for wool stored at 37°C. For wool contaminated with O1-BFS-infected sheep faeces, urine or blood, or with O1-BFS-infected cattle saliva, decay curves predicted virus to persist for 5 to 11 days pc at 18°C. We demonstrated that the simulated scouring of FMDV-contaminated wool at 60° to 70°C would usually reduce virus to below detectable levels. The detergent component of the scouring process had little, if any, antiviral activity, and scouring at 20°C or 50°C had limited impact on FMDV titres. We recommend that either (1) simple storage of FMDV-contaminated wool for 4 weeks at temperatures of 18°C or higher, or (2) scouring of contaminated wool at 60° to 70°C would be sufficient to remove the threat of FMDV-contaminated wool being infectious to other animals. Copyright © 1995, Wiley Blackwell. All rights reserved","1995"
44624,"FMD - Foot and Mouth Disease","Mebus, et al. 1993. ","Mebus, C.A., House, C., Gonzalvo, F.R., Pineda, J.M., Tapiador, J., Pire, J.J., Bergada, J., Yedloutschnig, R.J., Sahu, S., Becerra, V., Sanchez-Vizcaino, J.M. (1993).  Survival of foot-and-mouth disease, African swine fever, and hog cholera viruses in Spanish serrano cured hams and iberian cured hams, shoulders and loins Food Microbiology, 10(2),  133","Mebus, C.A., House, C., Gonzalvo, F.R., Pineda, J.M., Tapiador, J., Pire, J.J., Bergada, J., Yedloutschnig, R.J., Sahu, S., Becerra, V., Sanchez-Vizcaino, J.M.","Survival of foot-and-mouth disease, African swine fever, and hog cholera viruses in Spanish serrano cured hams and iberian cured hams, shoulders and loins","The survival of foot-and-mouth disease virus (FMDV), African swine fever virus (ASFV), and hog cholera virus (HCV) was studied in typical Spanish dry cured meat products (Serrano hams and Iberian hams, loins, and shoulders). For each disease, 31 to 35 Iberian black and 31 or 32 white pigs were infected and slaughtered in Spain at the estimated peak of viremia. Cuts from the carcasses were frozen, shipped to the US and used to prepare the meat products tested. Samples taken at the time of slaughter and at intervals during the processing were assayed for virus survival by in vitro in vivo techniques. The Iberian hams were free of viable FMDV by day 168, free of viable ASFV by day 140, and free of viable HCV by day 252. The Iberian shoulder hams were free of viable FMDV by day 112, ASFV by day 140, and HCV by day 140. The Iberian loins were free of viable FMDV by day 42, ASFV by day 112, and HCV by day 126. The white Serrano hams were free of viable FMDV by day 182, ASFV by day 140, and HCV by day 140. This work tested industrial procedures to assure that importation and commercialization of these dry cured meat products will not pose a risk to US livestock. © 1993 Academic Press Limited.","1993"
44624,"Classical Swine Fever","Mebus, et al. 1993. ","Mebus, C.A., House, C., Gonzalvo, F.R., Pineda, J.M., Tapiador, J., Pire, J.J., Bergada, J., Yedloutschnig, R.J., Sahu, S., Becerra, V., Sanchez-Vizcaino, J.M. (1993).  Survival of foot-and-mouth disease, African swine fever, and hog cholera viruses in Spanish serrano cured hams and iberian cured hams, shoulders and loins Food Microbiology, 10(2),  133","Mebus, C.A., House, C., Gonzalvo, F.R., Pineda, J.M., Tapiador, J., Pire, J.J., Bergada, J., Yedloutschnig, R.J., Sahu, S., Becerra, V., Sanchez-Vizcaino, J.M.","Survival of foot-and-mouth disease, African swine fever, and hog cholera viruses in Spanish serrano cured hams and iberian cured hams, shoulders and loins","The survival of foot-and-mouth disease virus (FMDV), African swine fever virus (ASFV), and hog cholera virus (HCV) was studied in typical Spanish dry cured meat products (Serrano hams and Iberian hams, loins, and shoulders). For each disease, 31 to 35 Iberian black and 31 or 32 white pigs were infected and slaughtered in Spain at the estimated peak of viremia. Cuts from the carcasses were frozen, shipped to the US and used to prepare the meat products tested. Samples taken at the time of slaughter and at intervals during the processing were assayed for virus survival by in vitro in vivo techniques. The Iberian hams were free of viable FMDV by day 168, free of viable ASFV by day 140, and free of viable HCV by day 252. The Iberian shoulder hams were free of viable FMDV by day 112, ASFV by day 140, and HCV by day 140. The Iberian loins were free of viable FMDV by day 42, ASFV by day 112, and HCV by day 126. The white Serrano hams were free of viable FMDV by day 182, ASFV by day 140, and HCV by day 140. This work tested industrial procedures to assure that importation and commercialization of these dry cured meat products will not pose a risk to US livestock. © 1993 Academic Press Limited.","1993"
44624,"African swine fever virus","Mebus, et al. 1993. ","Mebus, C.A., House, C., Gonzalvo, F.R., Pineda, J.M., Tapiador, J., Pire, J.J., Bergada, J., Yedloutschnig, R.J., Sahu, S., Becerra, V., Sanchez-Vizcaino, J.M. (1993).  Survival of foot-and-mouth disease, African swine fever, and hog cholera viruses in Spanish serrano cured hams and iberian cured hams, shoulders and loins Food Microbiology, 10(2),  133","Mebus, C.A., House, C., Gonzalvo, F.R., Pineda, J.M., Tapiador, J., Pire, J.J., Bergada, J., Yedloutschnig, R.J., Sahu, S., Becerra, V., Sanchez-Vizcaino, J.M.","Survival of foot-and-mouth disease, African swine fever, and hog cholera viruses in Spanish serrano cured hams and iberian cured hams, shoulders and loins","The survival of foot-and-mouth disease virus (FMDV), African swine fever virus (ASFV), and hog cholera virus (HCV) was studied in typical Spanish dry cured meat products (Serrano hams and Iberian hams, loins, and shoulders). For each disease, 31 to 35 Iberian black and 31 or 32 white pigs were infected and slaughtered in Spain at the estimated peak of viremia. Cuts from the carcasses were frozen, shipped to the US and used to prepare the meat products tested. Samples taken at the time of slaughter and at intervals during the processing were assayed for virus survival by in vitro in vivo techniques. The Iberian hams were free of viable FMDV by day 168, free of viable ASFV by day 140, and free of viable HCV by day 252. The Iberian shoulder hams were free of viable FMDV by day 112, ASFV by day 140, and HCV by day 140. The Iberian loins were free of viable FMDV by day 42, ASFV by day 112, and HCV by day 126. The white Serrano hams were free of viable FMDV by day 182, ASFV by day 140, and HCV by day 140. This work tested industrial procedures to assure that importation and commercialization of these dry cured meat products will not pose a risk to US livestock. © 1993 Academic Press Limited.","1993"
44645,"FMD - Foot and Mouth Disease","Sonder, et al. 1990. ","Sonder, E., Ackermann, M., McCullough, K.C., Kihm, U. (1990).  Inactivation of foot and mouth disease virus in skimmed milk with propionic acid, citric acid and hydrogen peroxide. Revue scientifique et technique (International Office of Epizootics), 9(4),  1139","Sonder, E., Ackermann, M., McCullough, K.C., Kihm, U.","Inactivation of foot and mouth disease virus in skimmed milk with propionic acid, citric acid and hydrogen peroxide.","In order to protect farm animals from infections such as foot and mouth disease (FMD) and tuberculosis, the pasteurisation of milk and milk products designated for the feeding of animals is compulsory in Switzerland. Nowadays, milk products are often treated chemically with acids or with hydrogen peroxide in order to keep bacterial contamination low. The capacity of these chemical treatments to inactivate FMD virus in skimmed milk within 6 h at 5 degrees C was tested in this study. The results indicated that the addition of 0.1%-0.3% of consumable acids, such as citric acid or propionic acid, could not guarantee the complete inactivation of FMD virus in skimmed milk. Similar results were obtained both with FMD virus deliberately added to skimmed milk and with skimmed milk obtained from naturally infected cows. Hydrogen peroxide in concentrations of 0.1%-0.3% was also an ineffective means of controlling the risk of FMD virus transmission from contaminated milk.","1990"
44700,"Glanders (Burkholderia mallei)","Rogers, et al. 2016. ","Rogers, J.V., Lastivka, A.T., Richter, W.R. (2016).  Persistence and inactivation of Burkholderia mallei China 7 deposited on nonporous laboratory materials Applied Biosafety, 21(2),  66","Rogers, J.V., Lastivka, A.T., Richter, W.R.","Persistence and inactivation of Burkholderia mallei China 7 deposited on nonporous laboratory materials","This study evaluated the persistence of Burkholderia mallei China 7 deposited on glass, Hypalon rubber glove, and stainless steel, as well as inactivation with vaporous hydrogen peroxide fumigation of a 15-m3 chamber. A suspension of B mallei China 7 at 1 ~ 108 colony-forming units was dried on coupons of each test surface. One set of coupons was held at 20°C to 22°C and 40% to 55% relative humidity and sampled for viable B mallei at 1 hour, 16 to 18 hours, 4 days, and 7 days. A second set of coupons was subjected to vapor-phase hydrogen peroxide fumigation. For persistence of B mallei on all materials, a significant reduction in recoverable log10 colony-forming units was observed over the 7-day period, in which no growth was observed by day 4 for glass and day 7 for glove and stainless steel. For all materials subjected to vapor-phase hydrogen peroxide exposure, qualitative growth assessment (incubated for 7 days) showed complete inactivation of B mallei and biological indicators. The results indicate that B mallei can remain viable for several days under ambient laboratory conditions on glass, rubber glove, and stainless-steel materials. Moreover, B mallei is inactivated on these materials when exposed to vapor-phase hydrogen peroxide without observable physical damage to the test materials. © ABSA International 2016.","2016"
44730,"Glanders (Burkholderia mallei)","Gilbert, et al. 2012. ","Gilbert, S.E., Rose, L.J. (2012).  Survival and persistence of nonspore-forming biothreat agents in water Letters in Applied Microbiology, 55(3),  189","Gilbert, S.E., Rose, L.J.","Survival and persistence of nonspore-forming biothreat agents in water","Aims: To determine whether nonspore-forming biothreat agents can survive and persist in potable water that does not contain a disinfectant. Methods and Results: Autoclaved, de-chlorinated Atlanta municipal water was inoculated with eight isolates of bacterial biothreat agents (106CFUml-1). The inoculated water samples were incubated at 5, 8 (Francisella tularensis only) or 25°C and assayed for viability by culture and by the presence of metabolic activity as measured by esterase activity (ScanRDI, AES Chemunex). Viability as determined by culture varied from 1 to 30days, depending upon the organism and the temperature of the water. All organisms were determined viable as measured by esterase activity for the entire 30days, regardless of the incubation temperature. Conclusion: Francisella tularensis was culturable for at least 21days if held at 8°C. The remaining nonspore-forming bacterial biothreat agents were found to be metabolically active for at least 30days in water held at 5 or 25°C. Significance and Impact of the Study: The data can assist public health officials to determine the safety of drinking water after contamination with a biothreat agent. © 2012 The Society for Applied Microbiology.","2012"
44835,"Crimean-Congo haemorrhagic fever virus","Hempel, et al. 2019. ","Hempel, H.A., Rubio Lozano, M.S., Hernández Baumgarten, E.M., Girón, P.C., Ángeles, O.T., Coba Ayala, M.A., Ciprián Carrasco, J.A., Mendoza Elvira, S.E. (2019).  Survival of classic swine fever virus in hams made from the meat of pigs vaccinated with the PAV-250 strain and unvaccinated pigs Revista Mexicana De Ciencias Pecuarias, 10(3),  536","Hempel, H.A., Rubio Lozano, M.S., Hernández Baumgarten, E.M., Girón, P.C., Ángeles, O.T., Coba Ayala, M.A., Ciprián Carrasco, J.A., Mendoza Elvira, S.E.","Survival of classic swine fever virus in hams made from the meat of pigs vaccinated with the PAV-250 strain and unvaccinated pigs","The study was to determine the presence of Classical Swine Fever virus (CSFv), in the meat of vaccinated pigs with the PAV-250 strain and then challenged using the same strain. Five treatment groups were established (each with four pigs). Group A: Pigs that were fed with processed hams from negative animals; Group B: Pigs that were fed with processed hams from commercial pigs inoculated with the ALD (reference strain) (titre of 104.0/ml); Group C: Pigs fed with processed hams from pigs infected with the virulent ALD strain (titre of 102.5/ml); Group D: Pigs fed with processed hams from pigs vaccinated with the PAV-250 strain and challenged with the ALD strain (titre of 101.1/ml); and Group E: Pigs fed with processed hams from pigs vaccinated with two doses of the PAV-250 strain and challenged with the ALD strain (negative). Blood samples were taken at d 1, 5, 10, 15 and 20 for biometric analysis. Groups B, C and D manifested clinical signs of CSFv: 40 °C temperature, anorexia, paralysis, vomiting, diarrhea, tremor, hirsute hair and cyanosis. Pigs were slaughtered and necropsies performed to identify lesions in tissues. Results of direct immunofluorescence testing of tissues were positive and the virus was recovered. Under these study conditions, it was found that CSFv resisted the cooking method at 68 °C for 40 min in hams from unvaccinated pigs, and that the virus was able to transmit the disease to healthy unvaccinated pigs, whereas the hams from the vaccinated animals did not transmit the virus. © 2019 INIFAP-CENID Parasitologia Veterinaria. All rights reserved.","2019"
44887,"Classical Swine Fever","Cowan, et al. 2015. ","Cowan, L., Haines, F.J., Everett, H.E., Crudgington, B., Johns, H.L., Clifford, D., Drew, T.W., Crooke, H.R. (2015).  Factors affecting the infectivity of tissues from pigs with classical swine fever: Thermal inactivation rates and oral infectious dose Veterinary Microbiology, 176(1-2),  1","Cowan, L., Haines, F.J., Everett, H.E., Crudgington, B., Johns, H.L., Clifford, D., Drew, T.W., Crooke, H.R.","Factors affecting the infectivity of tissues from pigs with classical swine fever: Thermal inactivation rates and oral infectious dose","Outbreaks of classical swine fever are often associated with ingestion of pig meat or products derived from infected pigs. Assessment of the disease risks associated with material of porcine origin requires knowledge on the likely amount of virus in the original material, how long the virus may remain viable within the resulting product and how much of that product would need to be ingested to result in infection. Using material from pigs infected with CSFV, we determined the viable virus concentrations in tissues that comprise the majority of pork products. Decimal reduction values (D values), the time required to reduce the viable virus load by 90% (or 1log10), were determined at temperatures of relevance for chilling, cooking, composting and ambient storage. The rate of CSFV inactivation varied in different tissues. At lower temperatures, virus remained viable for substantially longer in muscle and serum compared to lymphoid and fat tissues. To enable estimation of the temperature dependence of inactivation, the temperature change required to change the D values by 90% (Z values) were determined as 13°C, 14°C, 12°C and 10°C for lymph node, fat, muscle and serum, respectively. The amount of virus required to infect 50% of pigs by ingestion was determined by feeding groups of animals with moderately and highly virulent CSFV. Interestingly, the virulent virus did not initiate infection at a lower dose than the moderately virulent strain. Although higher than for intranasal inoculation, the amount of virus required for infection via ingestion is present in only a few grams of tissue from infected animals. © 2015 .","2015"
44975,"Classical Swine Fever","Weesendorp, et al. 2008. ","Weesendorp, E., Stegeman, A., Loeffen, W.L.A. (2008).  Survival of classical swine fever virus at various temperatures in faeces and urine derived from experimentally infected pigs Veterinary Microbiology, 132(3-4),  249","Weesendorp, E., Stegeman, A., Loeffen, W.L.A.","Survival of classical swine fever virus at various temperatures in faeces and urine derived from experimentally infected pigs","Indirect transmission of classical swine fever virus (CSFV) can occur through contact with mechanical vectors, like clothing and footwear or transport vehicles, contaminated with the secretions or excretions of infected pigs. A prerequisite for indirect transmission is survival of the virus on the mechanical vector. Consequently, to obtain more insight into these transmission routes, it is important to know how long the virus remains viable outside the host. In this study we examined the survival of classical swine fever virus in faeces and urine derived from pigs intranasally inoculated with a highly or moderately virulent CSFV strain. Faeces and urine were collected between days 5 and 36 post-inoculation, and stored at 5, 12, 20, and 30 °C. Next, the virus titres were determined in the samples by virus titration, and a random selection of these samples was also analyzed by quantitative real-time reverse transcription polymerase chain reaction (qRRT-PCR) to determine the viral RNA decay. Survival curves were generated, and it was shown that the inactivation rate was inversely related to the storage temperature. Average half-life values were between 2 and 4 days at 5 °C, and between 1 and 3 h at 30 °C. Significant differences were observed in survival between virus strains in faeces, however, not in urine. The reduction in viral RNA during the entire study period was limited. This study provided detailed information on survival of CSFV in excretions of infected pigs, which can be used to improve control measures or risk-analysis models. © 2008 Elsevier B.V. All rights reserved.","2008"
45018,"Classical Swine Fever","Blacksell, et al. 2004. ","Blacksell, S.D., Khounsy, S., Westbury, H.A. (2004).  The effect of sample degradation and RNA stabilization on classical swine fever virus RT-PCR and ELISA methods Journal of Virological Methods, 118(1),  33","Blacksell, S.D., Khounsy, S., Westbury, H.A.","The effect of sample degradation and RNA stabilization on classical swine fever virus RT-PCR and ELISA methods","Classical swine fever (CSF), also known as hog cholera, is a highly contagious viral infection of swine caused by a member of the genus pestivirus of the family, Flaviviridae. The need for accurate laboratory diagnosis of CSF is particularly important as it is more reliable than clinical diagnosis. CSF is endemic in many tropical countries where the climate is characterized by high ambient temperature and humidity. This study details the effect of sample quality on CSF antigen-capture ELISA (AC-ELISA) and reverse transcriptase- polymerase chain reaction (RT-PCR) methods. RT-PCR assessment of AC-ELISA-positive spleen samples stored in a conventional glycerol/saline buffer demonstrated that the RT-PCR was detrimentally affected by poor sample quality. To provide a more accurate representation of this effect, a 14 days study was performed to determine the effect of tropical ambient conditions on CSF virus-positive spleen samples stored in two transport media; glycerol/saline and a proprietary RNA preservation solution (RNAlater™). A protective effect was demonstrated in both assays with RNAlater™ as samples were positive in both assays until day 14 post-exposure. Samples stored in glycerol/saline were negative at RT-PCR at day 3 post-exposure although AC-ELISA was still positive at day 14 post-exposure. © 2004 Elsevier B.V. All rights reserved.","2004"
45072,"African swine fever virus","Turner, et al. 1999. ","Turner, C., Williams, S.M. (1999).  Laboratory-scale inactivation of African swine fever virus and swine vesicular disease virus in pig slurry Journal of Applied Microbiology, 87(1),  148","Turner, C., Williams, S.M.","Laboratory-scale inactivation of African swine fever virus and swine vesicular disease virus in pig slurry","Two methods were evaluated for the inactivation of African swine fever (ASV) and swine vesicular disease (SVD) viruses in pig slurry: chemical treatment and heat treatment. The addition of NaOH or Ca(OH)2 at different concentration/time combinations at 4 °C and 22 °C was examined, as was virus stability at different temperature/time combinations. ASF virus (ASFV) was less resistant to both methods than SVD virus (SVDV). In slurry from one source, ASFV was inactivated at 65 °C within 1 min, whereas SVDV required at least 2 min at 65 °C. However, it was found that thermal inactivation depended on the characteristics of the slurry used. Addition of 1% (w/v) of NaOH or Ca(OH)'2 caused the inactivation of ASFV within 150 s at 4 °C; 0.5% (w/v) NaOH or Ca(OH)2 required 30 min for inactivation. NaOH or Ca(OH)2 (1% (w/v)) was not effective against SVDV at 22 °C after 30 min, and 1.5% (w/v) NaOH or Ca(OH)2 caused inactivation of SVDV at both 4 °C and 22 °C. At higher chemical concentrations or temperatures, ASFV and SVDV inactivation was faster in slurry than in buffered medium.","1999"
45113,"Classical Swine Fever","Panina, et al. 1992. ","Panina, G.F., Civardi, A., Cordioli, P., Massirio, I., Scatozza, F., Baldini, P., Palmia, F. (1992).  Survival of hog cholera virus (HCV) in sausage meat products (Italian salami) International Journal of Food Microbiology, 17(1),  19","Panina, G.F., Civardi, A., Cordioli, P., Massirio, I., Scatozza, F., Baldini, P., Palmia, F.","Survival of hog cholera virus (HCV) in sausage meat products (Italian salami)","Survival of hog cholera virus (HCV) was determined in several sausage meat products (Italian salami) prepared with meats from experimentally infected hogs slaughtered at the peak of disease. Meats were processed following the technology applied by the main factories of the typical Italian production. The survival of HCV was assessed through inoculation in both PK 15 cell monolayers and fully susceptible piglets. In all types of sausages examined HCV was detected up to 75 days of curing by piglet inoculation. This technique was much more sensitive than use of cell culture. © 1992.","1992"
