"Refid","Bibliography","User","Ris Code","Level","DE_DACRAH_OB4_Covetlab_k","studyID
Unique ID to link all observations from the same study or experiment","studyIDNumerical","sampCountry
Country where study was performed","sampY
Year the study was conducted
(-1 if not reported)","agent
Causative agent of vector borne diseases","agentSubtype
DACRAH1 - no need to answer","agentSubtypeTypeWhat type of further detailed information is given regarding the agent.Select here, and type below.","agentSubtypeTypeWhat type of further detailed information is given regarding the agent.Select here, and type below._comment","agentDetails
The further information given regarding the sutype type given above. ","studyTargetHOST
Species target of the study. If not mentioned (for instance vector studies not mentioning any particular host species), then please leave it as ""NOT HOST SPECIFIC""","studyTargetHOST
Species target of the study. If not mentioned (for instance vector studies not mentioning any particular host species), then please leave it as ""NOT HOST SPECIFIC""_comment","studyTargetVector
Please select the specific vector.","sampUnit
Type of unit sampled in the study and reported in sampUnitSize
 ","sampUnit
Type of unit sampled in the study and reported in sampUnitSize
 _comment","sampUnitSize
Number of units in the group (the number of units listed above (e.g. herds))
(-1 if not reported, -2 if not relevant)","route
Method of application or treatment regime or administration method of vaccine","route
Method of application or treatment regime or administration method of vaccine_comment","intervention
Intervention or treatment","intervention
Intervention or treatment_comment","testsubstance
Insecticide or pharmaceutical substance","testsubstance2
Insecticide or pharmaceutical substance","test substance CATEGORICAL","test substance2 CATEGORICAL","formulation %
The concentration given for the preparation, if given (p.e. 5%)","formulation2 %
The concentration given for the preparation, if given (p.e. 5%)","dose
quantity of vaccine/insecticide/pharmaceutical given - value reported in the study","dose2
quantity of vaccine/insecticide/pharmaceutical given - value reported in the study","doseUnits
Units of measurement for the reported parameter value","doseUnits
Units of measurement for the reported parameter value_comment","doseUnits2
Units of measurement for the reported parameter value","doseUnits2
Units of measurement for the reported parameter value_comment","dosageFreq
Dosage frequency: number of doses (=how many times is the dose aministred?)","dosageFreq2
Dosage frequency: number of doses (=how many times is the dose aministred?)","dosageInterval
Dosage - interval at which the dose is given (days) (how many days are in between the administration of 2 doses)","dosageInterval2
Dosage - interval at which the dose is given (days) (how many days are in between the administration of 2 doses)","Exposure time","Exposure time units","SubstanceDoseComments
Add any other comments about dosage and the test substance.
Please try as much as possible to enter some quantitiative data
in the fields above (for instance the most frequent dosage regimen,
or the start regimen), and then add any additional details here.
Please also try to leave the testSubstance name as clean as possible","sampledMatrix
Tissue sampled for testing","sampledMatrix
Tissue sampled for testing_comment","anMethCode
Laboratory test used to analyse for virus, antibodies or antigens associated with the VBD","anMethCode
Laboratory test used to analyse for virus, antibodies or antigens associated with the VBD_comment","anMethText
Description of laboratory method (where relevant include method of calculation of cut-offs)","anMatText
Target of laboratory test","anMatText
Target of laboratory test_comment","timePoint
Indicate time point in days from the start of the study to which the following parameters (dead, clinical and tested) correspond","dead (or mortality)
Number of dead vectors (if reported as percentage, please provide percentage -e.g. 20 for 20% - and change the units in the following question).","dead (or mortality) Units
Units of measurement of the reported dead/mortality","mortalityLCI
Lower confidence interval limit for mortality reported as percentage (use 20 for 20%, for example)","mortalityUCI
Upper confidence interval limit for mortality reported as percentage (use 20 for 20%, for example)","mortalityTime
If provided in the paper, please report the time between application of the treatment and recorded mortality. Use this question for the numerical value and the next for the unit.","mortalityTimeUnits
The units for the reported time to mortality.","efficacy
1-RR","LCI_EF
Lower Confidence interval limit - Efficacy","UCI_EF
Upper Confidence interval limit - Efficacy
 ","Outcome type","Number given
numerical part of the outcome","Units
 ","nTested
Number of samples tested","nNegative
Number of samples negative","nPositive
Number of samples positive","OUTCOMESOtherComments
Please give any details that could not be reported in the format above.
Please first make sure to report as many results as possible in a quantitative format above, and leave any additional comments here.","Study design STRENGTHSAdd notes on the strengths of the study design.","Study design WEAKNESSESAdd any notes on the study design weaknesses - lack of proper controls, lack of proper analyses methods, flaws in the way data were reported, etc. What is the impact of these flaws on the use of the data collected?"
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,19,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,deltamethrin,PBO,deltamethrin,"Piperonyl butoxide (PBO)",0.05%,4%,-1,-1,,,percentage,,1,1,,,60,,"PBO 4%, deltamethrin 0.05%",,,,,"WHO tube bioassays",,,1,84.4,percentage,82.5,86.3,24,hours,,,,,,,,,,"species An. gambiae",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,21,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,PBO,,"Piperonyl butoxide (PBO)",,4%,,-1,,,,percentage,,1,,,,60,,"PBO 4%",,,,,"WHO tube bioassays",,,1,0,percentage,0,0,24,hours,,,,,,,,,,"species An. gambiae",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,10,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,dieldrin,,dieldrin,,4%,,-1,,,,percentage,,1,,,,60,,"dieldrin 4%",,,,,"WHO tube bioassays",,,1,66.6,percentage,58.1,75.1,24,hours,,,,,,,,,,"species An. gambiae",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,11,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,primiphos-methyl,,Pirimiphos-methyl,,1%,,-1,,,,percentage,,1,,,,60,,"primiphos-methyl 1%",,,,,"WHO tube bioassays",,,1,100,percentage,,,24,hours,,,,,,,,,,"species An. gambiae",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,12,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,DDT,,DDT,,4%,,-1,,,,percentage,,1,,,,60,,"DDT 4%",,,,,"WHO tube bioassays",,,1,33.8,percentage,28.4,39.2,24,hours,,,,,,,,,,"species An. funestus",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,14,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,deltamethrin,,deltamethrin,,0.05%,,-1,,,,percentage,,1,,,,60,,"deltamethrin 0.05%",,,,,"WHO tube bioassays",,,1,87.7,percentage,85.1,90.3,24,hours,,,,,,,,,,"species An. funestus",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,13,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,permethrin,,permethrin,,0.75%,,-1,,,,percentage,,1,,,,60,,"permethrin 0.75%",,,,,"WHO tube bioassays",,,1,64.7,percentage,60.1,69.3,24,hours,,,,,,,,,,"species An. funestus",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,15,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,bendiocarb,,bendiocarb,,0.1%,,-1,,,,percentage,,1,,,,60,,"bendiocarb 0.1%",,,,,"WHO tube bioassays",,,1,97.9,percentage,96.7,99.1,24,hours,,,,,,,,,,"species An. funestus",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,16,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,fenitrothion,,fenitrothion,,1%,,-1,,,,percentage,,1,,,,60,,"fenitrothion 1%",,,,,"WHO tube bioassays",,,1,100,percentage,,,24,hours,,,,,,,,,,"species An. funestus, males",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,17,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,malathion,,malathion,,5%,,-1,,,,percentage,,1,,,,60,,"malathion 5%",,,,,"WHO tube bioassays",,,1,100,percentage,,,24,hours,,,,,,,,,,"species An. funestus, males",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,18,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,PBO,permethrin,"Piperonyl butoxide (PBO)",permethrin,4%,0.75%,-1,-1,,,percentage,,1,1,,,60,,"PBO 4%, permethrin 0.75%",,,,,"WHO tube bioassays",,,1,14,percentage,7.5,20.5,24,hours,,,,,,,,,,"species An. gambiae",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,20,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,PBO,DDT,"Piperonyl butoxide (PBO)",DDT,4%,4%,-1,-1,,,percentage,,1,1,,,60,,"PBO 4%, DDT 4%",,,,,"WHO tube bioassays",,,1,2.7,percentage,0,5.4,24,hours,,,,,,,,,,"species An. gambiae",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,5,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,malathion,,malathion,,5%,,-1,,,,percentage,,1,,,,60,,"malathion 5%",,,,,"WHO tube bioassays",,,1,100,percentage,,,24,hours,,,,,,,,,,"species An. gambiae",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,7,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,etofenprox,,etofenprox,,0.05%,,-1,,,,percentage,,1,,,,60,,"etofenprox 0.05%",,,,,"WHO tube bioassays",,,1,2.6,percentage,0,5.2,24,hours,,,,,,,,,,"species An. gambiae",,
70024," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji (2018).  High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo Journal of Infectious Diseases, 217(2),  320",mia.holmberg,,4,,6,,"Congo, The Democratic Republic of the",2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit",,-1,"Vector directly exposed",,"Insecticide treatment",,cyhalothrin,,lambda-cyhalothrin,,0.05%,,-1,,,,percentage,,1,,,,60,,"cyhalothrin 0.05%",,,,,"WHO tube bioassays",,,1,20.9,percentage,17.4,24.4,24,hours,,,,,,,,,,"species An. gambiae",,
70025," S.Z.M. Oo, S. Thaung, Y.N.M. Maung, K.M. Aye, Z.Z. Aung, H.M. Thu, K.Z. Thant, N. Minakawa (2018).  Effectiveness of a novel long-lasting pyriproxyfen larvicide (SumiLarv®2MR) against Aedes mosquitoes in schools in Yangon, Myanmar Parasites and Vectors, 11(1),  #Pages#",Fernanda.dorea,,4,,5,,Myanmar,2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"single VECTOR UNIT",,200,"Water treatment",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,2%,,1,,percentage,,,,1,,,,,,"8 month-old SumiLarv2MR discs placed in water container",,,,,,,,240,100,percentage,,,72,hours,,,,,,,,,,,,
70025," S.Z.M. Oo, S. Thaung, Y.N.M. Maung, K.M. Aye, Z.Z. Aung, H.M. Thu, K.Z. Thant, N. Minakawa (2018).  Effectiveness of a novel long-lasting pyriproxyfen larvicide (SumiLarv®2MR) against Aedes mosquitoes in schools in Yangon, Myanmar Parasites and Vectors, 11(1),  #Pages#",Fernanda.dorea,,4,,4,,Myanmar,2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit","water-filled containers in schools",92,"Water treatment",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,2%,,1,,percentage,,,,1,,,,,,"SumiLarv2MR - a long-lasting matrix release formulation (5.5 cm diameter disc containing 2& w7w pyriproxifen).  Placed in water-filled containers",,,,,,,,90,,,,,,,,,,"Number of sampling units with vectors presence ",5.4,percentage,,,,,,
70025," S.Z.M. Oo, S. Thaung, Y.N.M. Maung, K.M. Aye, Z.Z. Aung, H.M. Thu, K.Z. Thant, N. Minakawa (2018).  Effectiveness of a novel long-lasting pyriproxyfen larvicide (SumiLarv®2MR) against Aedes mosquitoes in schools in Yangon, Myanmar Parasites and Vectors, 11(1),  #Pages#",Fernanda.dorea,,4,,4,,Myanmar,2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit","water-filled containers in schools",92,"Water treatment",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,2%,,1,,percentage,,,,1,,,,,,"SumiLarv2MR - a long-lasting matrix release formulation (5.5 cm diameter disc containing 2& w7w pyriproxifen).  Placed in water-filled containers",,,,,,,,0,,,,,,,,,,"Number of sampling units with vectors presence ",35.9,percentage,,,,,,
70025," S.Z.M. Oo, S. Thaung, Y.N.M. Maung, K.M. Aye, Z.Z. Aung, H.M. Thu, K.Z. Thant, N. Minakawa (2018).  Effectiveness of a novel long-lasting pyriproxyfen larvicide (SumiLarv®2MR) against Aedes mosquitoes in schools in Yangon, Myanmar Parasites and Vectors, 11(1),  #Pages#",Fernanda.dorea,,4,,4,,Myanmar,2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit","water-filled containers in schools",92,"Water treatment",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,2%,,1,,percentage,,,,1,,,,,,"SumiLarv2MR - a long-lasting matrix release formulation (5.5 cm diameter disc containing 2& w7w pyriproxifen).  Placed in water-filled containers",,,,,,,,60,,,,,,,,,,"Number of sampling units with vectors presence ",10.9,percentage,,,,,,
70025," S.Z.M. Oo, S. Thaung, Y.N.M. Maung, K.M. Aye, Z.Z. Aung, H.M. Thu, K.Z. Thant, N. Minakawa (2018).  Effectiveness of a novel long-lasting pyriproxyfen larvicide (SumiLarv®2MR) against Aedes mosquitoes in schools in Yangon, Myanmar Parasites and Vectors, 11(1),  #Pages#",Fernanda.dorea,,4,,4,,Myanmar,2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit","water-filled containers in schools",92,"Water treatment",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,2%,,1,,percentage,,,,1,,,,,,"SumiLarv2MR - a long-lasting matrix release formulation (5.5 cm diameter disc containing 2& w7w pyriproxifen).  Placed in water-filled containers",,,,,,,,120,,,,,,,,,,"Number of sampling units with vectors presence ",5.4,percentage,,,,,,
70025," S.Z.M. Oo, S. Thaung, Y.N.M. Maung, K.M. Aye, Z.Z. Aung, H.M. Thu, K.Z. Thant, N. Minakawa (2018).  Effectiveness of a novel long-lasting pyriproxyfen larvicide (SumiLarv®2MR) against Aedes mosquitoes in schools in Yangon, Myanmar Parasites and Vectors, 11(1),  #Pages#",Fernanda.dorea,,4,,4,,Myanmar,2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit","water-filled containers in schools",92,"Water treatment",,"Insecticide treatment",,pyriproxyfen,,pyriproxyfen,,2%,,1,,percentage,,percentage,,1,,,,,,"SumiLarv2MR - a long-lasting matrix release formulation (5.5 cm diameter disc containing 2& w7w pyriproxifen).  Placed in water-filled containers",,,,,,,,30,,,,,,,,,,"Number of sampling units with vectors presence ",14.1,percentage,,,,,,
70025," S.Z.M. Oo, S. Thaung, Y.N.M. Maung, K.M. Aye, Z.Z. Aung, H.M. Thu, K.Z. Thant, N. Minakawa (2018).  Effectiveness of a novel long-lasting pyriproxyfen larvicide (SumiLarv®2MR) against Aedes mosquitoes in schools in Yangon, Myanmar Parasites and Vectors, 11(1),  #Pages#",Fernanda.dorea,,4,,3,,Myanmar,2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit","water-filled containers in schools",115,,,Control,,none,,CONTROL,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,"Number of sampling units with vectors presence ",7,percentage,,,,,,
70025," S.Z.M. Oo, S. Thaung, Y.N.M. Maung, K.M. Aye, Z.Z. Aung, H.M. Thu, K.Z. Thant, N. Minakawa (2018).  Effectiveness of a novel long-lasting pyriproxyfen larvicide (SumiLarv®2MR) against Aedes mosquitoes in schools in Yangon, Myanmar Parasites and Vectors, 11(1),  #Pages#",Fernanda.dorea,,4,,3,,Myanmar,2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit","water-filled containers in schools",115,,,Control,,none,,CONTROL,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"Number of sampling units with vectors presence ",16.5,percentage,,,,,,
70025," S.Z.M. Oo, S. Thaung, Y.N.M. Maung, K.M. Aye, Z.Z. Aung, H.M. Thu, K.Z. Thant, N. Minakawa (2018).  Effectiveness of a novel long-lasting pyriproxyfen larvicide (SumiLarv®2MR) against Aedes mosquitoes in schools in Yangon, Myanmar Parasites and Vectors, 11(1),  #Pages#",Fernanda.dorea,,4,,3,,Myanmar,2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit","water-filled containers in schools",115,,,Control,,none,,CONTROL,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,"Number of sampling units with vectors presence ",8.7,percentage,,,,,,
70025," S.Z.M. Oo, S. Thaung, Y.N.M. Maung, K.M. Aye, Z.Z. Aung, H.M. Thu, K.Z. Thant, N. Minakawa (2018).  Effectiveness of a novel long-lasting pyriproxyfen larvicide (SumiLarv®2MR) against Aedes mosquitoes in schools in Yangon, Myanmar Parasites and Vectors, 11(1),  #Pages#",Fernanda.dorea,,4,,3,,Myanmar,2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit","water-filled containers in schools",115,,,Control,,none,,CONTROL,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,"Number of sampling units with vectors presence ",10.4,percentage,,,,,,
70025," S.Z.M. Oo, S. Thaung, Y.N.M. Maung, K.M. Aye, Z.Z. Aung, H.M. Thu, K.Z. Thant, N. Minakawa (2018).  Effectiveness of a novel long-lasting pyriproxyfen larvicide (SumiLarv®2MR) against Aedes mosquitoes in schools in Yangon, Myanmar Parasites and Vectors, 11(1),  #Pages#",Fernanda.dorea,,4,,3,,Myanmar,2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"batch / replicate unit","water-filled containers in schools",115,,,Control,,none,,CONTROL,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,"Number of sampling units with vectors presence ",16.5,percentage,,,,,,
70025," S.Z.M. Oo, S. Thaung, Y.N.M. Maung, K.M. Aye, Z.Z. Aung, H.M. Thu, K.Z. Thant, N. Minakawa (2018).  Effectiveness of a novel long-lasting pyriproxyfen larvicide (SumiLarv®2MR) against Aedes mosquitoes in schools in Yangon, Myanmar Parasites and Vectors, 11(1),  #Pages#",Fernanda.dorea,,4,,6,,Myanmar,2015,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"single VECTOR UNIT",,200,,,Control,,none,,CONTROL,,,,,,,,,,,,,,,,,,,,,,,,240,5.5,percentage,,,72,hours,,,,,,,,,,,,
70033," M. Chatterjee, S. Ballav, A.K. Maji, N. Basu, B.C. Sarkar, P. Saha (2018).  Polymorphisms in voltage-gated sodium channel gene and susceptibility of Aedes albopictus to insecticides in three districts of northern West Bengal, India PLoS Neglected Tropical Diseases, 12(1),  #Pages#",Fernanda.dorea,,4,,11,,India,2016,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"single VECTOR UNIT",,160,"Vector directly exposed",,"Insecticide treatment",,deltamethrin,,deltamethrin,,,,0.05,,percentage,,,,1,,,,1,hours,"Mosquitoes exposed to papers impregnated with test substance for 1 hour",Vector,,,,"WHO bioassay protocol, CORRECTED mortality",,,,98.68,percentage,,,24,hours,,,,,,,,,,"Knockdown time 10% = 5.05 mins
Knockdown time 50% = 11.86 mins
Knockdown time 95% = 35.49 mins","All results, including that for controls, clearly reported in table format.",
70033," M. Chatterjee, S. Ballav, A.K. Maji, N. Basu, B.C. Sarkar, P. Saha (2018).  Polymorphisms in voltage-gated sodium channel gene and susceptibility of Aedes albopictus to insecticides in three districts of northern West Bengal, India PLoS Neglected Tropical Diseases, 12(1),  #Pages#",Fernanda.dorea,,4,,12,,India,2016,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"single VECTOR UNIT",,160,"Vector directly exposed",,"Insecticide treatment",,deltamethrin,,deltamethrin,,,,0.05,,percentage,,,,1,,,,1,hours,"Mosquitoes exposed to papers impregnated with test substance for 1 hour",Vector,,,,"WHO bioassay protocol, CORRECTED mortality",,,,100,percentage,,,24,hours,,,,,,,,,,"Knockdown time 10% = 5.38 mins
Knockdown time 50% = 10.14 mins
Knockdown time 95% = 22.85 mins","All results, including that for controls, clearly reported in table format.",
70033," M. Chatterjee, S. Ballav, A.K. Maji, N. Basu, B.C. Sarkar, P. Saha (2018).  Polymorphisms in voltage-gated sodium channel gene and susceptibility of Aedes albopictus to insecticides in three districts of northern West Bengal, India PLoS Neglected Tropical Diseases, 12(1),  #Pages#",Fernanda.dorea,,4,,15,,India,2016,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"single VECTOR UNIT",,160,"Vector directly exposed",,"Insecticide treatment",,malathion,,malathion,,,,5,,percentage,,,,1,,,,1,hours,"Mosquitoes exposed to papers impregnated with test substance for 1 hour",Vector,,,,"WHO bioassay protocol, CORRECTED mortality",,,,98.75,percentage,,,24,hours,,,,,,,,,,"Knockdown time 10% = 9.31 mins
Knockdown time 50% = 23.49 mins
Knockdown time 95% = 77.04 mins","All results, including that for controls, clearly reported in table format.",
70033," M. Chatterjee, S. Ballav, A.K. Maji, N. Basu, B.C. Sarkar, P. Saha (2018).  Polymorphisms in voltage-gated sodium channel gene and susceptibility of Aedes albopictus to insecticides in three districts of northern West Bengal, India PLoS Neglected Tropical Diseases, 12(1),  #Pages#",Fernanda.dorea,,4,,13,,India,2016,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"single VECTOR UNIT",,160,"Vector directly exposed",,"Insecticide treatment",,malathion,,malathion,,,,5,,percentage,,,,1,,,,1,hours,"Mosquitoes exposed to papers impregnated with test substance for 1 hour",Vector,,,,"WHO bioassay protocol, CORRECTED mortality",,,,100,percentage,,,24,hours,,,,,,,,,,"Knockdown time 10% = 10.85 mins
Knockdown time 50% = 17.52 mins
Knockdown time 95% = 32.39 mins","All results, including that for controls, clearly reported in table format.",
70033," M. Chatterjee, S. Ballav, A.K. Maji, N. Basu, B.C. Sarkar, P. Saha (2018).  Polymorphisms in voltage-gated sodium channel gene and susceptibility of Aedes albopictus to insecticides in three districts of northern West Bengal, India PLoS Neglected Tropical Diseases, 12(1),  #Pages#",Fernanda.dorea,,4,,14,,India,2016,"Not applicable (vector study)",,,,,"NOT HOST SPECIFIC",,mosquitoes,"single VECTOR UNIT",,160,"Vector directly exposed",,"Insecticide treatment",,malathion,,malathion,,,,5,,percentage,,,,1,,,,1,hours,"Mosquitoes exposed to papers impregnated with test substance for 1 hour",Vector,,,,"WHO bioassay protocol, CORRECTED mortality",,,,98.68,percentage,,,24,hours,,,,,,,,,,"Knockdown time 10% = 10.85 mins
Knockdown time 50% = 23.79 mins
Knockdown time 95% = 65.17 mins","All results, including that for controls, clearly reported in table format.",
