"Refid","Bibliography","User","Ris Code","Level","DE_VBD_PREVALENCE_FINAL_k","studyID
Unique ID to link all observations from the same study or experiment","agent
Causative agent of vector borne diseases","agentSubtypeType","agentSubtypeType_comment","agentDetails
The further information given regarding the sutype type given above. ","sampCountry
Country where study was performed","sampCountry
Country where study was performed_comment","SampArea_text
Please provide the name of the sampled area.","Sampling context
reason for sampling, type of study, surveillance types","Sampling context
reason for sampling, type of study, surveillance types_comment","Reason for sampling
Free text to describe the reason for performing pathogen testing (e.g. serological survey, trade purposes), if not already clear from the study type","Disease situation / outbreak phase
Please report outbreak phase or any other information given regarding the disease situation in the area. ","sampY
Start year of study/outbreak
(-1 if not specified)","sampM
Start month of study/outbreak
(-1 if not specified)","duration
Duration of study/outbreak in months","analysisY
Year when the analysis was completed","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed_comment","sampPoint
Point in the food chain, where the samples were taken","sampPoint
Point in the food chain, where the samples were taken_comment","sampStrategy
Strategy used to select sample units for laboratory analysis","sampStrategy
Strategy used to select sample units for laboratory analysis_comment","Longitudinal/Repeated sampling?
if this is a longitudinal study, describe the scheme of sampling (for instance paired samples with 2 months interval). ","sampUnit
Type of unit sampled in the study and reported in sampUnitSize","sampUnit
Type of unit sampled in the study and reported in sampUnitSize_comment","sampUnitSize
Number of sampling units tested (sample size)","MinAgeMonths
Age of animals in months
(-1 if not specified)","MaxAgeMonths
Age of animals in months
(-1 if not specified)","sampledMatrix
Matrix sampled for testing","sampledMatrix
Matrix sampled for testing_comment","anMethCode
Laboratory test used","anMethCode
Laboratory test used_comment","anMatText
Target of laboratory test","anMatText
Target of laboratory test_comment","anMethText
Description of laboratory method (where relevant include method of calculation of cut-offs)","sensitivity
Sensitivity of test","specificity
Specificity of test","nPositive
Number of animals positive","Were all cases confirmed to be IMPORTED (animals believed not to have been infected in the study area) -> YES, only IMPORTED cases","nNegative
Number of animals negative","Disease freedom
was this phrased as a disease freedom investigation?","Design prevalence
If given, in % (p.e. 2%). This is the minimum assumed prevalence of the disease in the region, if it was present.","prevalence (..%, e.g write 7, when the prevalence is 0.07 or 7%)
Reported prevalence in paper","LCI_PR
Lower Confidence interval-prevalence","UCI_PR
Upper confidence interval-prevalence","incidence
Reported incidence value","LCI_I
Lower confidence interval-incidence","UCI_I
Upper confidence interval-incidence","incidenceUnits
Units of reported incidence value","incidence Unit comments
Any further information on incidence units","R0
Basic reproduction number","Lower value of Ro range","Upper level of range or of Ro","impactMeasure
Description of the measure used / reported in the paper","impactValue
Value","impactUnit
Unit","impactUnit
Unit_comment","Clinical signs
If clinical signs were described, please list them here","Severity
If any measure of severity was described, please give an objective summary here","More info missed?
Are there more detailed information on the clinical progression, which could not be collected here? Would this paper be worth a new data collection form focusing specifically on the type and duration of clinical signs? ","Risk factors - INCREASE RISK
if this was a study where risk factor were investigated, please list factors confirmed to be associated with increased disease risk","Risk factors - PROTECTIVE FACTOR
if this was a study where risk factor were investigated, please list factors confirmed to REDUCE disease risk","More info missed?
Are there more detailed information on risk factors, which could not be collected here? Would this paper be worth a new data collection form focusing specifically on risk factors? ","Quality check and other notes
if relevant, please add any notes about information in the paper which you think is relevant but was not capured in the form.
Also add any notes about detected biases or other methodological flaws.","agentSubtype
Code agent of vector borne diseases agent serotype/genotype/strain
from DACRAH1, no need to answer","agentSubtype
Code agent of vector borne diseases agent serotype/genotype/strain
from DACRAH1, no need to answer_comment"
83573," F.A. Colombo, R.M.F.N. Odorizzi, M.D. Laurenti, E.A.B. Galati, F. Canavez, V.L. Pereira-Chioccola (2011).  Detection of Leishmania (Leishmania) infantum RNA in fleas and ticks collected from naturally infected dogs Parasitology Research, 109(2),  267",Paul.Gale,,3,,1,"Leishmania infantum",,,,Brazil,,,"Monitoring &ndash;active",,"Results for Nymphs","Not reported",2009,8,10,2011,Ticks,,"Vet/Clinic ",,"Convenience sampling",,,"host (animal or human)",,24,-1,-1,"Whole vectors",,"Polymerase chain reaction (PCR)",,"Nucleic acid",,,,,18,,6,,,33,,,,,,,,,,,,,,,,,,,,,,,
83573," F.A. Colombo, R.M.F.N. Odorizzi, M.D. Laurenti, E.A.B. Galati, F. Canavez, V.L. Pereira-Chioccola (2011).  Detection of Leishmania (Leishmania) infantum RNA in fleas and ticks collected from naturally infected dogs Parasitology Research, 109(2),  267",Paul.Gale,,3,,2,"Leishmania infantum",,,,Brazil,,,"Monitoring &ndash;active",,"Results for Adult males","Not reported",2009,8,10,2011,Ticks,,"Vet/Clinic ",,"Convenience sampling",,,"host (animal or human)",,41,-1,-1,"Whole vectors",,"Polymerase chain reaction (PCR)",,"Nucleic acid",,,,,34,,7,,,56,,,,,,,,,,,,,,,,,,,,,,,
83574," R. Ignatius, C. Loddenkemper, J. Woitzik, T. Schneider, G. Harms (2011).  Localized Leishmanial lymphadenopathy: An unusual manifestation of leishmaniasis in a traveler in southern Europe Vector-Borne and Zoonotic Diseases, 11(8),  1213",Paul.Gale,,3,,1,"Leishmania infantum",,,,Germany,,,"Clinical investigations",,,"Not reported",2009,10,-1,2011,"Human (homo sapiens)",,Hospital,,"Suspect sampling",,,"host (animal or human)",,1,456,-1,"Lymph node ",,"Microscopic detection and quantification",,Parasite,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83576," W. Coura-Vital, M.J. Marques, V.M. Veloso, B.M. Roatt, R.D. de Oliveira Aguiar-Soares, L.E.S. Reis, S.L. Braga, M.H.F. Morais, A.B. Reis, M. Carneiro (2011).  Prevalence and factors associated with Leishmania infantum infection of dogs from an urban area of Brazil as identified by molecular methods PLoS Neglected Tropical Diseases, 5(8),  #Pages#",Paul.Gale,,3,,1,"Leishmania infantum",,,,Brazil,,,"Survey (designed sampling)",,"results for ELISA","Not reported",2008,-1,-1,2011,"Dog (Canis lupus familiaris)",,Household,,Unspecified,,,"host (animal or human)",,1443,-1,-1,Blood,,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,"The cut-off value was established as the mean absorbance value +2 SD from 20 eluates from blood of uninfected dogs dried on filter paper.",,,230,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,
83576," W. Coura-Vital, M.J. Marques, V.M. Veloso, B.M. Roatt, R.D. de Oliveira Aguiar-Soares, L.E.S. Reis, S.L. Braga, M.H.F. Morais, A.B. Reis, M. Carneiro (2011).  Prevalence and factors associated with Leishmania infantum infection of dogs from an urban area of Brazil as identified by molecular methods PLoS Neglected Tropical Diseases, 5(8),  #Pages#",Paul.Gale,,3,,2,"Leishmania infantum",,,,Brazil,,,"Survey (designed sampling)",,"results for PCR","Not reported",2008,-1,-1,2011,"Dog (Canis lupus familiaris)",,Household,,Unspecified,,,"host (animal or human)",,1443,-1,-1,Blood,,"Polymerase chain reaction (PCR)",,"Nucleic acid",,,,,356,,1087,,,24.7,,,,,,,,,,,,,,,,,,,,,,,
83581," P.A. Abd Rani, P.J. Irwin, G.T. Coleman, M. Gatne, R.J. Traub (2011).  A survey of canine tick-borne diseases in India Parasites and Vectors, 4(1),  #Pages#",Paul.Gale,,3,,2,"Hepatozoon canis",,,,India,,,"Monitoring &ndash;active",,"Results for PCR","Not reported",-1,-1,-1,2011,"Dog (Canis lupus familiaris)",,Unknown,,"Selective (risk-based) sampling",,,"host (animal or human)",,525,-1,-1,Blood,,"Polymerase chain reaction (PCR)",,"Nucleic acid",,,,,,,,,,30,26,34,,,,,,,,,,,,,,,,,,,,,
83581," P.A. Abd Rani, P.J. Irwin, G.T. Coleman, M. Gatne, R.J. Traub (2011).  A survey of canine tick-borne diseases in India Parasites and Vectors, 4(1),  #Pages#",Paul.Gale,,3,,1,"Hepatozoon canis",,,,India,,,"Monitoring &ndash;active",,"Results for blood smear","Not reported",-1,-1,-1,2011,"Dog (Canis lupus familiaris)",,Unknown,,"Selective (risk-based) sampling",,,"host (animal or human)",,525,-1,-1,Blood,,"Microscopic detection and quantification",,Parasite,,,,,12,,,,,2.3,1.2,4,,,,,,,,,,,,,,,,,,,,,
83582," E.S.M.M. Savani, D. Presotto, T. Roberto, M.C.G. de Oliveira Camargo, S.R.N. D'Auria, D.V. Sacramento (2011).  First occurrence of an autochthonous canine case of Leishmania (Leishmania) infantum chagasi in the municipality of campinas, state of São Paulo, Brazil Revista do Instituto de Medicina Tropical de Sao Paulo, 53(4),  227",Paul.Gale,,3,,1,"Leishmania infantum",,,,Brazil,,,"Clinical investigations",,,"Not reported",2009,9,-1,2011,"Dog (Canis lupus familiaris)",,"Vet/Clinic ",,"Suspect sampling",,,"host (animal or human)",,1,108,-1,Spleen,,"Polymerase chain reaction (PCR)",,"Nucleic acid",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83585," R. Farkas, B. Tánczos, G. Bongiorno, M. Maroli, J. Dereure, P.D. Ready (2011).  First surveys to investigate the presence of canine leishmaniasis and its phlebotomine vectors in Hungary Vector-Borne and Zoonotic Diseases, 11(7),  823",Paul.Gale,,3,,1,"Leishmania infantum",,,,Hungary,,,"Monitoring &ndash;active",,,"Not reported",2006,-1,48,2011,"Dog (Canis lupus familiaris)",,"Multiple places of exposure in one country",,"Selective (risk-based) sampling",,,"host (animal or human)",,725,-1,-1,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,"The cut-off value selected was a 1:80 dilution of the sample serum",,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
83586," B. Faucher, C. Pomares, S. Fourcade, A. Benyamine, P. Marty, L. Pratlong, F. Faraut, C. Mary, R. Piarroux, J.-P. Dedet, F. Pratlong (2011).  Mucosal Leishmania infantum leishmaniasis: Specific pattern in a multicentre survey and historical cases Journal of Infection, 63(1),  76",Paul.Gale,,3,,1,"Leishmania infantum",,,,France,,,"Clinical investigations",,,"Not reported",1997,-1,144,2011,"Human (homo sapiens)",,Hospital,,"Suspect sampling",,,"host (animal or human)",,10,252,780,Mucosa,,"Microscopic detection and quantification",,Parasite,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83588," H. Nakkash-Chmaisse, R. Makki, G. Nahhas, K. Knio, N. Nuwayri-Salti (2011).  Detection of Leishmania parasites in the blood of patients with isolated cutaneous leishmaniasis International Journal of Infectious Diseases, 15(7),  e491",Paul.Gale,,3,,1,"Leishmania infantum",,,,"United States",,,"Surveillance passive (follow up reports)",,,"Not reported",1994,-1,84,2011,"Human (homo sapiens)",,Hospital,,"Suspect sampling",,,"host (animal or human)",,162,5,840,"Skin ",,"culture method",,Parasite,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83593," R. Baldelli, S. Piva, D. Salvatore, M. Parigi, O. Melloni, M. Tamba, R. Bellini, G. Poglayen (2011).  Canine leishmaniasis surveillance in a northern Italy kennel Veterinary Parasitology, 179(1-3),  57",Paul.Gale,,3,,1,"Leishmania infantum",,,,Italy,,,"Surveillance active (active search for cases)",,"Results for 2007","Not reported",2007,-1,36,2011,"Dog (Canis lupus familiaris)",,Kennel,,Unspecified,,,"host (animal or human)",,103,-1,-1,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,,,,3,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,
83593," R. Baldelli, S. Piva, D. Salvatore, M. Parigi, O. Melloni, M. Tamba, R. Bellini, G. Poglayen (2011).  Canine leishmaniasis surveillance in a northern Italy kennel Veterinary Parasitology, 179(1-3),  57",Paul.Gale,,3,,2,"Leishmania infantum",,,,Italy,,,"Surveillance active (active search for cases)",,"Results for 2008","Not reported",2007,-1,36,2011,"Dog (Canis lupus familiaris)",,Kennel,,Unspecified,,,"host (animal or human)",,338,-1,-1,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,,,,19,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,
83593," R. Baldelli, S. Piva, D. Salvatore, M. Parigi, O. Melloni, M. Tamba, R. Bellini, G. Poglayen (2011).  Canine leishmaniasis surveillance in a northern Italy kennel Veterinary Parasitology, 179(1-3),  57",Paul.Gale,,3,,3,"Leishmania infantum",,,,Italy,,,"Surveillance active (active search for cases)",,"Results for 2009","Not reported",2007,-1,36,2011,"Dog (Canis lupus familiaris)",,Kennel,,Unspecified,,,"host (animal or human)",,245,-1,-1,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,,,,12,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,
83595," B. Faye, B. Bucheton, A.L. Bañuls, M.W. Senghor, A.A. Niang, S. Diedhiou, O. Konaté, M.M. Dione, M. Hide, S. Mellul, R. Knecht, P. Delaunay, P. Marty, O. Gaye (2011).  Seroprevalence of Leishmania infantum in a rural area of Senegal: Analysis of risk factors involved in transmission to humans Transactions of the Royal Society of Tropical Medicine and Hygiene, 105(6),  333",Paul.Gale,,3,,1,"Leishmania infantum",,,,Senegal,,,"Monitoring &ndash;active",,"Results are for EXPOSURE TO DISEASE, not positive cases","Not reported",2007,-1,12,2011,"Human (homo sapiens)",,Household,,"Selective (risk-based) sampling",,,"host (animal or human)",,315,-1,-1,Blood,,"Western blot",,Antibody,,,,,73,,,,,23,,,,,,,,,,,,,,,,,,,,,,,
83600," J.-Y. Wang, Yu. Ha, C.-H. Gao, Y. Wang, Y.-T. Yang, H.-T. Chen (2011).  The prevalence of canine Leishmania infantum infection in western China detected by PCR and serological tests Parasites and Vectors, 4(1),  #Pages#",Paul.Gale,,3,,1,"Leishmania infantum",,,,China,,,"Monitoring &ndash;active",,"Results for ELISA","Not reported",2010,5,-1,2011,"Dog (Canis lupus familiaris)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,106,7,-1,Blood,,"Enzyme linked immunosorbent assay (ELISA)",,IgG,,,61.90,,39,,,,,36.79,,,,,,,,,,,,,,,,,,,,,,,
83600," J.-Y. Wang, Yu. Ha, C.-H. Gao, Y. Wang, Y.-T. Yang, H.-T. Chen (2011).  The prevalence of canine Leishmania infantum infection in western China detected by PCR and serological tests Parasites and Vectors, 4(1),  #Pages#",Paul.Gale,,3,,3,"Leishmania infantum",,,,China,,,"Monitoring &ndash;active",,"Results for PCR","Not reported",2010,5,-1,2011,"Dog (Canis lupus familiaris)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,106,7,-1,Blood,,"Polymerase chain reaction (PCR)",,"Nucleic acid",,,87.30,,55,,,,,51.88,,,,,,,,,,,,,,,,,,,,,,,
83600," J.-Y. Wang, Yu. Ha, C.-H. Gao, Y. Wang, Y.-T. Yang, H.-T. Chen (2011).  The prevalence of canine Leishmania infantum infection in western China detected by PCR and serological tests Parasites and Vectors, 4(1),  #Pages#",Paul.Gale,,3,,2,"Leishmania infantum",,,,China,,,"Monitoring &ndash;active",,"Results for DIPSTICK","Not reported",2010,5,-1,2011,"Dog (Canis lupus familiaris)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,106,7,-1,Blood,,"Immunological detection or quantification method",,Antibody,,,15.87,,10,,,,,9.43,,,,,,,,,,,,,,,,,,,,,,,
83601," L. Little, G. Baneth (2011).  Cutaneous hepatozoon canis infection in a dog from New Jersey Journal of Veterinary Diagnostic Investigation, 23(3),  585",Paul.Gale,,3,,1,"Hepatozoon canis",,,,"United States",,,"Clinical investigations",,"Case study, infection probably due to vertical transmission","Not reported",-1,-1,-1,2011,"Dog (Canis lupus familiaris)",,"Vet/Clinic ",,"Suspect sampling",,,"host (animal or human)",,1,15,-1,Blood,,"Real-Time PCR (qualitative or quantitative)",,"Nucleic acid",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83609," D.A. Kovalenko, S.A. Razakov, E.N. Ponirovsky, A. Warburg, R.M. Nasyrova, V.I. Ponomareva, A.A. Fatullaeva, A. Nasereddin, E. Klement, M.Z. Alam, L.F. Schnur, C.L. Jaffe, G. Schönian, G. Baneth (2011).  Canine leishmaniosis and its relationship to human visceral leishmaniasis in Eastern Uzbekistan Parasites and Vectors, 4(1),  #Pages#",Paul.Gale,,3,,1,"Leishmania infantum",,,,Uzbekistan,,,"Monitoring &ndash;active",,"Results for ELISA","Not reported",2007,7,3,2011,"Dog (Canis lupus familiaris)",,Household,,"Selective (risk-based) sampling",,,"host (animal or human)",,162,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,"A sample was considered positive if the optical density was 2.6 times higher than the standard deviation of the control group.",,,51,,,,,31.48,,,,,,,,,,,,,,,,,,,,,,,
83609," D.A. Kovalenko, S.A. Razakov, E.N. Ponirovsky, A. Warburg, R.M. Nasyrova, V.I. Ponomareva, A.A. Fatullaeva, A. Nasereddin, E. Klement, M.Z. Alam, L.F. Schnur, C.L. Jaffe, G. Schönian, G. Baneth (2011).  Canine leishmaniosis and its relationship to human visceral leishmaniasis in Eastern Uzbekistan Parasites and Vectors, 4(1),  #Pages#",Paul.Gale,,3,,2,"Leishmania infantum",,,,Uzbekistan,,,"Monitoring &ndash;active",,"Results for PCR","Not reported",2007,7,3,2011,"Dog (Canis lupus familiaris)",,Household,,"Selective (risk-based) sampling",,,"host (animal or human)",,162,-1,-1,Blood,,"Polymerase chain reaction (PCR)",,"Nucleic acid",,,,,40,,,,,29.6,,,,,,,,,,,,,,,,,,,,,,,
83611," M.G. Lopes, I.L. Mendonça, K.P. Fortes, M. Amaku, H. de Fátima Jesus Pena, S.M. Gennari (2011).  Presence of antibodies against Toxoplasma gondii, Neospora caninum and Leishmania infantum in dogs from Piauí Revista Brasileira de Parasitologia Veterinaria, 20(2),  111",Paul.Gale,,3,,1,"Leishmania infantum",,,,Brazil,,,"Monitoring &ndash; passive",,,"Not reported",2007,1,23,2011,"Dog (Canis lupus familiaris)",,"Vet/Clinic ",,"Selective (risk-based) sampling",,,"host (animal or human)",,530,2,144,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,"samples with titers >40 were considered positive.",,,413,,,,,77.9,,,,,,,,,,,,,,,,,,,,,,,
83617," H. Mahmoudvand, M. Mohebali, I. Sharifi, H. Keshavarz, H. Hajjaran, B. Akhoundi, S. Jahanbakhsh, M. Zarean, A. Javadi (2011).  Epidemiological aspects of Visceral leishmaniasis in Baft district, Kerman Province, Southeast of Iran Iranian Journal of Parasitology, 6(1),  1",Paul.Gale,,3,,2,"Leishmania infantum",,,,"Iran, Islamic Republic of",,,"Monitoring &ndash;active",,"results for dogs","Not reported",2009,4,11,2011,"Dog (Canis lupus familiaris)",,Household,,"Selective (risk-based) sampling",,,"host (animal or human)",,30,-1,-1,Blood,,"Direct agglutination (DA)",,Antibody,,"cut-off value of ≥1:320",,,7,,,,,23.3,,,,,,,,,,,,,,,,,,,,,,,
83617," H. Mahmoudvand, M. Mohebali, I. Sharifi, H. Keshavarz, H. Hajjaran, B. Akhoundi, S. Jahanbakhsh, M. Zarean, A. Javadi (2011).  Epidemiological aspects of Visceral leishmaniasis in Baft district, Kerman Province, Southeast of Iran Iranian Journal of Parasitology, 6(1),  1",Paul.Gale,,3,,1,"Leishmania infantum",,,,"Iran, Islamic Republic of",,,"Monitoring &ndash;active",,,"Not reported",2009,4,11,2011,"Human (homo sapiens)",,Household,,"Selective (risk-based) sampling",,,"host (animal or human)",,1476,-1,-1,Blood,,"Direct agglutination (DA)",,Antibody,,"cut-off value of ≥1:3200",,,23,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,
83619," K. Sherry, G. Miró, M. Trotta, C. Miranda, A. Montoya, C. Espinosa, F. Ribas, T. Furlanello, L. Solano-Gallego (2011).  A serological and molecular study of leishmania infantum infection in cats from the island of Ibiza (Spain) Vector-Borne and Zoonotic Diseases, 11(3),  239",Paul.Gale,,3,,1,"Leishmania infantum",,,,Spain,,"Island of Ibiza","Monitoring &ndash;active",,,"Not reported",-1,-1,-1,2011,"Cat (Felis catus)",,Unknown,,Unspecified,,,"host (animal or human)",,105,-1,-1,Blood,,"Polymerase chain reaction (PCR)",,"Nucleic acid",,,,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,
83620," M. Mohebali, G.H. Edrissian, M.R. Shirzadi, B. Akhoundi, H. Hajjaran, Z. Zarei, S. Molaei, I. Sharifi, S. Mamishi, H. Mahmoudvand, V. Torabi, A. Moshfe, A. Malmasi, M.H. Motazedian, M. Fakhar (2011).  An observational study on the current distribution of visceral leishmaniasis in different geographical zones of Iran and implication to health policy Travel Medicine and Infectious Disease, 9(2),  67",Paul.Gale,,3,,1,"Leishmania infantum",,,,"Iran, Islamic Republic of",,,"Monitoring &ndash;active",,,"Outbreak - On-going",2007,-1,24,2011,"Human (homo sapiens)",,Hospital,,"Objective (random) sampling",,,"host (animal or human)",,9396,144,-1,"Blood serum",,"Direct agglutination (DA)",,Antibody,,,,,403,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,
83624," T. Živičnjak, F. Martinković, C. Khoury, G. Bongiorno, S. Bosnić, D. Lukačević, M. Maroli (2011).  Serological and entomological studies of canine leishmaniosis in Croatia Veterinarski Arhiv, 81(1),  99",Paul.Gale,,3,,1,"Leishmania infantum",,,,Croatia,,,"Monitoring &ndash;active",,,"Not reported",2008,6,-1,2011,"Dog (Canis lupus familiaris)",,"Multiple places of exposure in one country",,"Selective (risk-based) sampling",,,"host (animal or human)",,74,10,144,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,,,,10,,64,,,13,,,,,,,,,,,,,,,,,,,,,,,
83625," E. Fallah, M. Khanmohammadi, S. Rahbari, M. Farshchian, S. Farajnia, F. Hamzavi, A.M. Asl (2011).  Serological survey and comparison of two polymerase chain reaction (PCR) assays with enzyme-linked immunosorbent assay (ELISA) for the diagnosis of canine visceral leishmaniasis in dogs African Journal of Biotechnology, 10(4),  648",Paul.Gale,,3,,2,"Leishmania infantum",,,,"Iran, Islamic Republic of",,,"Survey (designed sampling)",,"Results for kDNA-PCR","Not reported",-1,-1,-1,2011,"Dog (Canis lupus familiaris)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,60,-1,-1,Blood,,"Polymerase chain reaction (PCR)",,"Nucleic acid",,kDNA-PCR,87.5,,7,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,
83625," E. Fallah, M. Khanmohammadi, S. Rahbari, M. Farshchian, S. Farajnia, F. Hamzavi, A.M. Asl (2011).  Serological survey and comparison of two polymerase chain reaction (PCR) assays with enzyme-linked immunosorbent assay (ELISA) for the diagnosis of canine visceral leishmaniasis in dogs African Journal of Biotechnology, 10(4),  648",Paul.Gale,,3,,3,"Leishmania infantum",,,,"Iran, Islamic Republic of",,,"Survey (designed sampling)",,"Results for ITS-PCR","Not reported",-1,-1,-1,2011,"Dog (Canis lupus familiaris)",,Unknown,,"Objective (random) sampling",,,"host (animal or human)",,60,-1,-1,Blood,,"Polymerase chain reaction (PCR)",,"Nucleic acid",,ITS-PCR,,,2,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,
83632," B. Mohammadi-Ghalehbin, G.R. Hatam, B. Sarkari, M. Mohebali, Z. Zarei, M. Jaberipour, S. Bohlouli (2011).  A Leishmania infantum FML-ELISA for the detection of symptomatic and asymptomatic canine visceral leishmaniasis in an endemic area of Iran Iranian Journal of Immunology, 8(4),  244",Paul.Gale,,3,,2,"Leishmania infantum",,,,"Iran, Islamic Republic of",,,"Monitoring &ndash;active",,"Results for FML-ELISA","Not reported",-1,-1,-1,2011,"Dog (Canis lupus familiaris)",,Unknown,,Unspecified,,,"host (animal or human)",,60,-1,36,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Antibody,,"The cut off point was set as 3SD above the mean of control samples",77.8,100,7,,,,,11.66,,,,,,,,,,,,,,,,,,,,,,,
83632," B. Mohammadi-Ghalehbin, G.R. Hatam, B. Sarkari, M. Mohebali, Z. Zarei, M. Jaberipour, S. Bohlouli (2011).  A Leishmania infantum FML-ELISA for the detection of symptomatic and asymptomatic canine visceral leishmaniasis in an endemic area of Iran Iranian Journal of Immunology, 8(4),  244",Paul.Gale,,3,,1,"Leishmania infantum",,,,"Iran, Islamic Republic of",,,"Monitoring &ndash;active",,"Results for DAT","Not reported",-1,-1,-1,2011,"Dog (Canis lupus familiaris)",,Unknown,,Unspecified,,,"host (animal or human)",,60,-1,36,"Blood serum",,"Direct agglutination (DA)",,Antibody,,"The titer of 1/320 and higher was considered as positive",,,2,,,,,3.33,,,,,,,,,,,,,,,,,,,,,,,
83640," C. Maia, J. Gomes, J. Cristóvão, M. Nunes, A. Martins, E. Rebêlo, L. Campino (2010).  Feline Leishmania infection in a canine leishmaniasis endemic region, Portugal Veterinary Parasitology, 174(3-4),  336",Paul.Gale,,3,,1,"Leishmania infantum",,,,Portugal,,,"Monitoring &ndash;active",,"Results for IFAT - dogs","Not reported",2007,1,20,2010,"Dog (Canis lupus familiaris)",,Unknown,,"Convenience sampling",,,"host (animal or human)",,137,-1,-1,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,"cut-off for dog's sera was 1/64",,,31,,,,,20.4,,,,,,,,,,,,,,,,,,,,,,,
83640," C. Maia, J. Gomes, J. Cristóvão, M. Nunes, A. Martins, E. Rebêlo, L. Campino (2010).  Feline Leishmania infection in a canine leishmaniasis endemic region, Portugal Veterinary Parasitology, 174(3-4),  336",Paul.Gale,,3,,2,"Leishmania infantum",,,,Portugal,,,"Monitoring &ndash;active",,"Results for IFAT - cats","Not reported",2007,1,20,2010,"Cat (Felis catus)",,Unknown,,"Convenience sampling",,,"host (animal or human)",,138,-1,-1,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,"cut-off for cat's sera was 1/64 (adapted from dogs)",,,28,,,,,20.3,,,,,,,,,,,,,,,,,,,,,,,
83640," C. Maia, J. Gomes, J. Cristóvão, M. Nunes, A. Martins, E. Rebêlo, L. Campino (2010).  Feline Leishmania infection in a canine leishmaniasis endemic region, Portugal Veterinary Parasitology, 174(3-4),  336",Paul.Gale,,3,,3,"Leishmania infantum",,,,Portugal,,,"Monitoring &ndash;active",,"Results for PCR - cats","Not reported",2007,1,20,2010,"Cat (Felis catus)",,Unknown,,"Convenience sampling",,,"host (animal or human)",,76,-1,-1,Blood,,"Polymerase chain reaction (PCR)",,"Nucleic acid",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83640," C. Maia, J. Gomes, J. Cristóvão, M. Nunes, A. Martins, E. Rebêlo, L. Campino (2010).  Feline Leishmania infection in a canine leishmaniasis endemic region, Portugal Veterinary Parasitology, 174(3-4),  336",Paul.Gale,,3,,4,"Leishmania infantum",,,,Portugal,,,"Monitoring &ndash;active",,"Results for PCR - dogs","Not reported",2007,1,20,2010,"Dog (Canis lupus familiaris)",,Unknown,,"Convenience sampling",,,"host (animal or human)",,152,-1,-1,Blood,,"Polymerase chain reaction (PCR)",,"Nucleic acid",,,,,53,,,,,34.9,,,,,,,,,,,,,,,,,,,,,,,
83642," I. Tsatchev, I.D. Kyriazis, S. Boutsini, E. Karagouni, E. Dotsika (2010).  First report of canine visceral leishmaniasis in Bulgaria Turkish Journal of Veterinary and Animal Sciences, 34(5),  465",Paul.Gale,,3,,1,"Leishmania infantum",,,,Bulgaria,,,"Clinical investigations",,,"Not reported",2006,10,-1,2010,"Dog (Canis lupus familiaris)",,"Vet/Clinic ",,"Suspect sampling",,,"host (animal or human)",,2,36,48,"Lymph node ",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
