"Refid","Bibliography","Author","Title","Abstract","Year","User","Level","agent
Causative agent of vector borne diseases","studyTargetHOST
Species target of the study. If not mentioned (for instance vector studies not mentioning any particular host species), then please leave it as ""NOT HOST SPECIFIC"""
70016," Shoukat RF, et al. 2018."," R.F. Shoukat, S. Freed, K.W. Ahmad,Ateeq-Ur-Rehman","Assessment of binary mixtures of entomopathogenic fungi and chemical insecticides on biological parameters of culex pipiens (diptera: Culicidae) under laboratory and field conditions","Southern house mosquito, Culex pipiens (Diptera: Culicidae), is most common agent for transferring a mass of pathogens i.e., West Nile Virus (WNV), avian pox virus (APV) etc. in rural and urban areas. To mitigate these problems study was conducted by using binary mixtures of entomopathogenic fungi, Beauveria bassiana (isolates Bb-01, Bb-10), Metarhizium anisopliae var. anisopliae (isolate Ma-11.1, Ma-2.4) and Isaria fumosorosea (isolates If-2.3, If-02) and chemical insecticides i.e., bifenthrin, lambda cyhalothrin, imidacloprid, triazophos, spinosad, pyriproxyfen and nitrinpyrum, as larvicides against C. pipiens. Highest larval percent mortality (73.3 ± 4.7) was observed after application of Ma-11.1(LC40) + nitenpyram (LC40) mixtures under laboratory and field conditions (71.5 ± 7.4). The results showed a significant effect of binary treatments of fungi and chemical insecticides on biological parameters of C. pipiens and its progeny (P<0.05). The insect pathogenic fungi showed compatibility with insecticides and the combined application can improve the management program of C. pipiens.",2018,mia.holmberg,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70024," Riveron JM, et al. 2018."," J.M. Riveron, F. Watsenga, H. Irving, S.R. Irish, C.S. Wondji","High Plasmodium Infection Rate and Reduced Bed Net Efficacy in Multiple Insecticide-Resistant Malaria Vectors in Kinshasa, Democratic Republic of Congo","Accounting for approximately 11% of all malaria cases, the Democratic Republic of the Congo (DRC) is central to malaria elimination efforts. To support vector control interventions in DRC, we characterized the dynamics and impact of insecticide resistance in major malaria vectors in 2015. High Plasmodium infection rates were recorded in Anopheles gambiae and Anopheles funestus, with Plasmodium falciparum predominant over Plasmodium malariae. Both mosquito species exhibited high and multiple resistance to major public health insecticide classes. The extremely high resistance to permethrin and DDT (dichlorodiphenyltrichloroethane) in An. gambiae (low mortalities after 6 hours exposure) is worrisome, and is supported by a reduced insecticidal effect of bed nets against both mosquito species in laboratory tests. Metabolic and target site insensitivity mechanisms are driving this resistance in An. gambiae, but only the former was observed in An. funestus. These findings highlight the urgent need for actions to prolong the effectiveness of insecticide-based interventions in DRC. © 2018 The Author(s).",2018,mia.holmberg,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70025," Oo SZM, et al. 2018."," S.Z.M. Oo, S. Thaung, Y.N.M. Maung, K.M. Aye, Z.Z. Aung, H.M. Thu, K.Z. Thant, N. Minakawa","Effectiveness of a novel long-lasting pyriproxyfen larvicide (SumiLarv®2MR) against Aedes mosquitoes in schools in Yangon, Myanmar","Background: Mosquito-borne diseases are prevalent in Myanmar, with the number of dengue cases showing a significant increase in recent years. Dengue vectors have developed resistance to insecticides and currently used larvicides show only short-term effectiveness. As a result, an alternative larvicide is urgently needed. The present study evaluated the larvicidal effectiveness of long-lasting pyriproxyfen resin discs (SumiLarv®2MR) against dengue virus vectors in schools in Hlaing Thar Yar Township, Yangon. Results: The proportion of Aedes mosquito-infested containers was significantly reduced in the schools applied with the larvicide (OR: 0.24, 95% CI: 0.12-0.48) while there was little reduction noted in the control schools (OR: 0.97, 95% CI: 0.55-1.72). The density of infested containers was also significantly reduced in the intervention schools (Beta: -1.50, 95% CI: -1.98- -1.04), but there was no significant reduction in density in the control schools (Beta: -0.19, 95% CI: -0.53-0.14). The proportion of adult emergence was less than 20% in the treated water collected from the intervention schools for six months, while the proportion was over 90% in the untreated water. In addition, eight-month-old SumiLarv®2MR resin discs were still 100% effective when tested in the laboratory. More than 50% of the discs disappeared from treated containers within two months of intervention. Conclusions: SumiLarv®2MR was effective in reducing Aedes-infested containers at least six months after its application in schools. This new pyriproxyfen formulation has great potential for improving the current dengue vector control program in Myanmar. © 2018 The Author(s).",2018,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70033," Chatterjee M, et al. 2018."," M. Chatterjee, S. Ballav, A.K. Maji, N. Basu, B.C. Sarkar, P. Saha","Polymorphisms in voltage-gated sodium channel gene and susceptibility of Aedes albopictus to insecticides in three districts of northern West Bengal, India","Background: The control and prevention of dengue largely depends on vector control measures, environmental management, and personal protection. Dengue control programmes are facing great challenges due to development of insecticide resistance among vector mosquitoes. Information on susceptibility status to different insecticides is important for national programmes to formulate vector control strategies. Methods: We have studied the larval susceptibility of Aedes albopictus to temephos and adult susceptibility to 4% DDT, 0.05% deltamethrin, and 5% malathion as per WHO protocols in the northern districts of West Bengal. Polymorphisms in the VGSC gene were studied by direct sequencing of PCR products. Results: The Ae. albopictus larval population showed sensitive [Resistance Ratio (RR99)&lt;3] to moderate levels of resistance (5&lt;RR99&gt;10) to temephos at different study sites. Adult bioassay results revealed that Ae. albopictus was highly resistant to DDT [Corrected Mortality (CM) &lt; 90%] in all the study sites and susceptible to deltamethrin and malathion (CM &gt; 98%), except in Dhupguri where a low level of resistance to deltamethrin (CM = 96.25%) was recorded. None of the six important kdr mutations (S953P, I975M/V, L978, V980G, F1474C, D1703Y) were found in the VGSC of studied mosquitoes, but we identified 11 synonymous and 1 non-synonymous mutation in the VGSC gene. Conclusion: The higher susceptibility level to deltamethrin and malathion, along with the absence of important kdr mutations indicates that these two insecticides are still effective against Ae. albopictus in the study areas. The susceptibility status of temephos should be monitored closely as low to moderate levels of resistance were observed in few sites. A similar study is recommended for monitoring and early detection of insecticide resistance in other parts of the country. © 2018 Chatterjee et al.",2018,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70037," Suresh U, et al. 2018."," U. Suresh, K. Murugan, C. Panneerselvam, R. Rajaganesh, M. Roni, A.T. Aziz, H.A. Naji Al-Aoh, S. Trivedi, H. Rehman, S. Kumar, A. Higuchi, A. Canale, G. Benelli","Suaeda maritima-based herbal coils and green nanoparticles as potential biopesticides against the dengue vector Aedes aegypti and the tobacco cutworm Spodoptera litura","The overuse of synthetic pesticides to control insect pests leads to physiological resistance and adverse environmental effects, in addition to high operational cost. Insecticides of botanical origin have been reported as useful for control of agricultural and public health insect pests. This research proposed a novel method of mangrove-mediated synthesis of insecticidal silver nanoparticles (AgNP) using Suaeda maritima, acting as a reducing and stabilizing agent. AgNP were characterized by UV–vis spectroscopy, Fourier transform infrared (FTIR) spectroscopy, scanning electron microscopy (SEM), energy-dispersive X-ray spectroscopy (EDX), and X-ray diffraction (XRD) analysis. S. maritima aqueous extract and mangrove-synthesized AgNP showed larvicidal and pupicidal toxicity against the dengue vector Aedes aegypti and the tobacco cutworm Spodoptera litura. In particular, LC50 of AgNP ranged from 8.668 (larva I) to 17.975 ppm (pupa) for A. aegypti, and from 20.937 (larva I) to 46.896 ppm (pupa) for S. litura. In the field, the application of S. maritima extract and AgNP (10 × LC50) led to 100% mosquito larval reduction after 72 h. Smoke toxicity experiments conducted on A. aegypti adults showed that S. maritima leaf-, stem- and root-based coils evoked mortality rates comparable or higher if compared to permethrin-based positive control (62%, 52%, 42%, and 50.2 respectively). In ovicidal experiments, egg hatchability was reduced by 100% after treatment with 20 ppm of AgNP and 250 ppm of S. maritima extract. Furthermore, low doses of the AgNP inhibited the growth of Bacillus subtilis, Klebsiella pneumoniae and Salmonella typhi. Overall, our results highlighted the potential of S. maritima-based herbal coils and green nanoparticles as biopesticides in the fight against the dengue vector A. aegypti and the tobacco cutworm S. litura. © 2017 Elsevier Ltd",2018,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70044," Akram MI, et al. 2017."," M.I. Akram, W. Akram, K. Zia, N.A. Khan","Comparative efficacy of pyrethroids on Aedes Aegypti, aedes albopictus and Culex quinquefasciatus collected from different ecological zones of Punjab, Pakistan","Chemical control is widely adopted method in mosquito control that emphasizes on the management of the adult and larval populations using various insecticides. Present study was carried out in the year 2015 to use chemicals which were currently being utilized in mosquito control program against prevalent mosquito species (Culex and Aedes spp.) collected from different ecological zones of Punjab (Pakistan) (i.e. Faisalabad, Lahore and Rawalpindi) formed as a result of dengue prevalence to evaluate their efficacy by performing adult bioassay using standard WHO protocols. Results revealed that among three pyrethroids used as adulticides, alpha-cypermethrin 10% SC showed greater residual efficacy and percent mortality on various substrates/surfaces like cement, mud, plaster, wood and filter paper followed by lambda-cyhalothrin 10% CS and deltamethrin 5WP in a period of 20 weeks. Response of these chemicals was greater on filter paper and cement and less on wood and mud. Data collected on these parameters was subjected to SPSS and Minitab software for drawing inferences. © 2018, University of Agriculture. All rights reserved.",2017,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70045," Shirani-Bidabadi L, et al. 2017."," L. Shirani-Bidabadi, A. Zahraei-Ramazani, M.R. Yaghoobi–Ershadi, Y. Rassi, A.A. Akhavan, M.A. Oshaghi, A.A. Enayati, Z. Saeidi, R. Jafari, H. Vatandoost","Assessing the insecticide susceptibility status of field population of Phlebotomus papatasi (Diptera: Psychodidae) in a hyperendemic area of zoonotic cutaneous leishmaniasis in Esfahan Province, Central Iran","Leishmaniasis is a Neglected Tropical Disease (NTD) and emerging parasitic infection that affect mainly poor regions around the world. This study aimed to determine the baseline susceptibility of Phlebotomus papatasi to commonly used insecticides in a hyper endemic area using WHO standard procedure in central Iran. A total of 4–5 replicates containing 120–200 sand flies were used for each insecticide. Baseline susceptibility to DDT and pyrethroids was assessed on 5326 specimens collected from the study area. The LT50 and LT90 values were measured according to the World Health Organisation test using probit analysis and regression lines. The test results against males P. papatasi revealed that LT50 values to DDT 4%,Permethrin 0.75%, Deltamethrin 0.05%, Cyfluthrin 0.15% and Lambdacyhalothrin 0.05% were 564.07, 38.08, 1.95, 0.60 and 9.78 s and the figures for females were 584.44, 110.10, 11.64, 1.53 and 16.91 s, respectively. Our results indicated that P. papatasi as the main cutaneous leishmaniasis vector was susceptible to Cyfluthrin 0.15%, Lambdacyhalothrin 0.05%, Permethrin 0.75% and Deltamethrin 0.05% and tolerant to DDT 4%. This study was carried out in one out of many Leishmaniasis foci in Iran. We recommend that future studies incorporate other regions and use the same procedure for monitoring and evaluating sand fly resistance. Also, WHO can provide a specific guideline and create a test kit for sand fly resistance monitoring and for applying susceptibility test because the tubes prepared for mosquitoes are not actually fit for sand flies. © 2017",2017,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70046," Izadi H, et al. 2017."," H. Izadi, W.W. Focke, E. Asaadi, R. Maharaj, J. Pretorius, M.T. Loots","A promising azeotrope-like mosquito repellent blend","Topical repellents play a key role in reducing the outdoor transmission of mosquito-borne diseases by reducing human-vector contact. Excellent repellents are available, but there is always room for improvement. This article reports on a particularly effective binary repellent blend of ethyl butylacetylaminopropionate and nonanoic acid. A composition containing 25 mol% of the acid exhibits negative pseudo-azeotrope behaviour at 50 °C, meaning that the liquid vapour pressure is lower than that of the parent compounds and evaporation occurs without a change in the liquid composition. In tests performed using the South African Medical Research Council's cup-on-arm procedure, this mixture provided better protection for a longer time than the ""gold standard of mosquito repellents"", namely N,N-diethyl-m-toluamide, commonly known as DEET. © 2017 The Author(s).",2017,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70049," Sharma N, et al. 2017."," N. Sharma, V. Singh, K.P. Shyma, H.R. Parsani","Comparative efficacy of commercial preparation of deltamethrin and cypermethrin against Ornithodoros spp. of North Gujarat","Ticks have massive capacity of acting as vectors of numerous pathogens that affect human, livestock and pets, which owes to their medical and veterinary importance. In animals, tick infestations are much more severe than in humans. Animals can be parasitized by hundreds or even thousands of ticks, which then proliferates the effect on the host. In almost all tropical and subtropical countries like India not only the hard ticks (Ixodidae) but also the soft ticks (Agrasidae) are responsible for economic losses either by direct injuries or disease transmission. Presently used control measure for ticks is only the use of commercially available acaricide compounds which are not much satisfactory and therefore a check on efficacy of these compounds is necessary for effective control. Commercially available preparations of deltamethrin (Butox, 1.25% E.C.) and cypermethrin (Ectomin, 10% E.C.) were compared for the acaricidal activity against soft ticks, Ornithodoros moubata by using Larval Packet Test. Larval mortality was higher with Butox as compared to Ectomin. Butox elicits 70% larval mortality, at the manufacturer’s recommended dosage (25 ppm) while for Ectomin, larval mortality was 38.46% at the manufacturer’s recommended dosage (200 ppm). This illustrates that deltamethrin (Butox) is more effective then cypermethrin (Ectomin). © 2017, Indian Society for Parasitology.",2017,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70051," Machtinger ET, et al. 2017."," E.T. Machtinger, A.Y. Li","Evaluation of four commercial natural products for repellency and toxicity against the lone star tick, Amblyomma americanum (Acari: Ixodidae)","Lone star ticks are aggressive ectoparasites of domestic and wild animals, as well as humans. These ticks can transmit many pathogens that cause disease including Erhlichia and tularemia. Common compounds used for personal protection and area sprays are N-diethyl-3-methyl benzamide (DEET) and permethrin, but public concern over personal and environmental safety require the development of new, safer products. In the current study, four commercially available products (Wondercide, Essentria IC3, Vet’s Best, and Mosquito Barrier) were tested for both repellent and toxic effects against lone star tick nymphs and adults. Overall, all four products were more effective against nymphs than against adults. Wondercide and Essentria IC3 were as toxic to nymphs as permethrin at concentrations of 3.13% and higher, and as repellent as DEET at all concentrations. Nymphs were also repelled by Mosquito Barrier and Vet’s Best, but these products had about half or less of the repellent effects of Wondercide and Essentria IC3 at most of the concentrations. Adult ticks were repelled similarly by all products at all tested concentrations, but at lower levels than nymphs. Toxicity of the four tested products on adults was similar at concentrations of 12.5% and below, less than half of what was observed with permethrin with declining effectiveness as concentrations decreased. Overall, these four products may offer a natural way to repel lone star ticks, but further field testing is needed to determine rates of application and residual activity. © 2017, This is a U.S. Government work and not under copyright protection in the United States; foreign copyright protection may apply.",2017,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70055," Rosilawati R, et al. 2017."," R. Rosilawati, H.L. Lee, W.A. Nazni, A.H. Nurulhusna, A. Roziah, M. Khairul Asuad, F. Siti Futri Farahininajua, M.Y. Mohd Farihan, J. Ropiah","Pyrethroid resistance status of Aedes (Stegomyia) Aegypti (Linneaus) from dengue endemic areas in peninsular Malaysia","Vector control is still the principal method to control dengue and chemical insecticides, especially the pyrethroids such as permethrin are the forerunners of mosquito control agent. Intensive and extensive use of pyrethroids often result in resistance, thereby hampering control efforts. The present study was conducted to evaluate the susceptible status of Aedes aegypti, the primary vector of dengue against permethrin. A nationwide mosquito sampling via ovitrapping was conducted in 12 dengue hotspots across 5 states in Peninsular Malaysia. Field collected Aedes eggs were hatched and reared until L3 larval and further identified it species. Adult F0 Aedes aegypti were reared until F1 progeny and the female were used in adult assay, performed according to World Health Organization (WHO) protocol as to determine the resistance level. The laboratory strain maintained for more than 1000 generations that were susceptible to permethrin served as the control strain. Evaluation of resistance ratio was assessed by comparing the knockdown rate with laboratory susceptible strain. In this present study, 70% ofAe. aegypti population from dengue hotspots was highly resistance to permethrin. The study clearly demonstrated that widespread of permethrin resistant Ae. aegypti in Malaysian mosquito's population, indicating the need of implementing an efficient pyrethroid resistance management.",2017,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70056," Ngufor C, et al. 2017."," C. Ngufor, A. Fongnikin, M. Rowland, R. N’Guessan","Indoor residual spraying with a mixture of clothianidin (a neonicotinoid insecticide) and deltamethrin provides improved control and long residual activity against pyrethroid resistant Anopheles gambiae sl in Southern Benin","Introduction There is an urgent need for new insecticides for indoor residual spraying (IRS) which can provide improved and prolonged control of malaria vectors that have developed resistance to existing insecticides. The neonicotinoid, clothianidin represents a class of chemistry new to public health. Clothianidin acts as an agonist on nicotinic acetyl choline receptors. IRS with a mixture of Clothianidin and another WHO approved insecticide such as deltamethrin could provide improved control of insecticide resistant malaria vector populations and serve as a tool for insecticide resistance management. Methods The efficacy and residual activity of a novel IRS mixture of deltamethrin and clothianidin was evaluated against wild pyrethroid resistant An. gambiae sl in experimental huts in Cove, Benin. Two application rates of the mixture were tested and comparison was made with clothianidin and deltamethrin applied alone. To assess the residual efficacy of the treatments on different local wall substrates, the inner walls of the experimental huts were covered with either cement, mud or plywood. Results Clothianidin demonstrated a clear delayed expression in mortality of wild pyrethroid resistant An. gambiae sl in the experimental huts which reached its full effect 120 hours after exposure. Overall mortality over the 12-month hut trial was 15% in the control hut and 24–29% in the deltamethrin-treated huts. The mixture of clothianidin 200mg/m2 and deltamethrin 25mg/m2 induced high overall hut mortality rates (87% on mud walls, 82% on cement walls and 61% on wooden walls) largely due to the clothianidin component and high hut exiting rates (67–76%) mostly due to the deltamethrin component. Mortality rates remained &gt;80% for 8–9 months on mud and cement walls. The residual activity trend was confirmed by results from monthly in situ cone bioassays with laboratory susceptible An. gambiae Kisumu strain. Conclusion IRS campaigns with the mixture of clothianidin plus deltamethrin have the potential to provide prolonged control of malaria transmitted by pyrethroid resistant mosquito populations. © 2017 Ngufor et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2017,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70057," Hamid PH, et al. 2017."," P.H. Hamid, J. Prastowo, A. Ghiffari, A. Taubert, C. Hermosilla","Aedes aegypti resistance development to commonly used insecticides in Jakarta, Indonesia","Aedes aegypti is the primary vector of various relevant arthropod-borne viral infectious diseases worldwide. The mosquito control is still mainly performed by using insecticides but their effectiveness is increasingly questioned nowadays. We here conducted a study on Ae. aegypti resistance development towards several commonly used insecticides in the capital city of Jakarta, Indonesia. In order to achieve this goal, Ae. aegypti eggs from Jakarta were collected with ovitraps and hatched in the insectary of the Gadjah Mada University, Indonesia. The F0 generations were used for WHO resistance tests and knockdown resistance (kdr) assays. Presented results clearly showed that there was resistance development of Ae. aegypti populations to the here tested pyrethroid insecticides (i. e. permethrin). Observed mortalities were less than 90% with highest resistance against 0.75% permethrin concentrations. Furthermore, a significant association of V1016G gene mutations with resistance phenotypes to 0.75% permethrin was observed. Nevertheless, the F1534C mutation did not show a significant correlation to resistance development. In conclusion, our results show that populations of Ae. aegypti mosquitoes within the city of Jakarta have developed resistance against several routinely used pyrethroid insecticides in local performed control programs. Thus, the regular verification/assessment of resistance development status will hopefully help in the future to assist local public health authorities in their mosquito control programs by recommending and managing the rotation of different routinely used insecticides with diverse effector mechanisms in order to delay Ae. aegypti resistance development. © 2017 Hamid et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2017,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70075," Cisse MBM, et al. 2017."," M.B.M. Cisse, D. Sangare, R.M. Oxborough, A. Dicko, D. Dengela, A. Sadou, J. Mihigo, K. George, L. Norris, C. Fornadel","A village level cluster-randomized entomological evaluation of combination long-lasting insecticidal nets containing pyrethroid plus PBO synergist in Southern Mali","Background: There is growing concern that malaria vector resistance to pyrethroid insecticides may reduce the effectiveness of long-lasting insecticidal nets (LLINs). Combination LLINs are designed to control susceptible and pyrethroid-resistant mosquito populations through a mixture of pyrethroid with piperonyl butoxide (PBO) synergist. A cluster randomized trial with entomology outcome measures was conducted in Mali to determine the added benefit over mono-treated pyrethroid predecessors. Four LLIN treatments; permethrin + PBO, permethrin, deltamethrin + PBO, and deltamethrin, were randomly allocated to four villages each (16 villages total) and distributed to cover every sleeping place. Entomological monitoring of indoor Anopheles resting densities, host preference, vector longevity, and sporozoite rates were monitored every 2 months over 2 years in 2014 and 2015. Results: Bottle bioassays confirmed permethrin and deltamethrin resistance in Anopheles gambiae sensu lato (s.l.), (the predominant species throughout the study) with pre-exposure to PBO indicating partial involvement of oxidases. Between 2014 and 2015 the mean indoor resting density was greater in the deltamethrin + PBO LLIN arm than the deltamethrin LLIN arm at 3.05 (95% CI 3.00-3.10) An. gambiae s.l. per room per day compared with 1.9 (95% CI 1.87-1.97). There was no significant difference in sporozoite rate at 3.97% (95% CI 2.91-5.02) for the deltamethrin LLIN arm and 3.04% (95% CI 2.21-3.87) for deltamethrin + PBO LLIN arm (P = 0.17). However, when analysed by season there was some evidence that the sporozoite rate was lower in the deltamethrin + PBO LLIN arm than deltamethrin LLIN arm during the rainy/high malaria transmission seasons at 1.95% (95% CI 1.18-2.72) and 3.70% (95% CI 2.56-4.84) respectively (P = 0.01). Conclusions: While there was some evidence that An. gambiae s.l. sporozoite rates were lower in villages with deltamethrin + PBO LLINs during the high malaria transmission seasons of 2014-2015, there was no reduction in parity rates or indoor resting densities. There was also no evidence that permethrin + PBO LLINs provided any improved control when compared with permethrin LLINs. Combination nets may have a greater impact in areas where mixed function oxidases play a more important role in pyrethroid resistance. © 2017 The Author(s).",2017,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70077," Messenger LA, et al. 2017."," L.A. Messenger, J. Shililu, S.R. Irish, G.Y. Anshebo, A.G. Tesfaye, Y. Ye-Ebiyo, S. Chibsa, D. Dengela, G. Dissanayake, E. Kebede, E. Zemene, A. Asale, M. Yohannes, H.S. Taffese, K. George, C. Fornadel, A. Seyoum, R.A. Wirtz, D. Yewhalaw","Insecticide resistance in Anopheles arabiensis from Ethiopia (2012-2016): A nationwide study for insecticide resistance monitoring","Background: Indoor residual spraying (IRS) and long-lasting insecticidal nets (LLINs) remain the cornerstones of malaria vector control. However, the development of insecticide resistance and its implications for operational failure of preventative strategies are of concern. The aim of this study was to characterize insecticide resistance among Anopheles arabiensis populations in Ethiopia and describe temporal and spatial patterns of resistance between 2012 and 2016. Methods: Between 2012 and 2016, resistance status of An. arabiensis was assessed annually during the long rainy seasons in study sites from seven of the nine regions in Ethiopia. Insecticide resistance levels were measured with WHO susceptibility tests and CDC bottle bioassays using insecticides from four chemical classes (organochlorines, pyrethroids, organophosphates and carbamates), with minor variations in insecticides tested and assays conducted between years. In selected sites, CDC synergist assays were performed by pre-exposing mosquitoes to piperonyl butoxide (PBO). In 2015 and 2016, mosquitoes from DDT and deltamethrin bioassays were randomly selected, identified to species-level and screened for knockdown resistance (kdr) by PCR. Results: Intense resistance to DDT and pyrethroids was pervasive across Ethiopia, consistent with historic use of DDT for IRS and concomitant increases in insecticide-treated net coverage over the last 15 years. Longitudinal resistance trends to malathion, bendiocarb, propoxur and pirimiphos-methyl corresponded to shifts in the national insecticide policy. By 2016, resistance to the latter two insecticides had emerged, with the potential to jeopardize future long-term effectiveness of vector control activities in these areas. Between 2015 and 2016, the West African (L1014F) kdr allele was detected in 74.1% (n = 686/926) of specimens, with frequencies ranging from 31 to 100% and 33 to 100% in survivors from DDT and deltamethrin bioassays, respectively. Restoration of mosquito susceptibility, following pre-exposure to PBO, along with a lack of association between kdr allele frequency and An. arabiensis mortality rate, both indicate metabolic and target-site mutation mechanisms are contributing to insecticide resistance. Conclusions: Data generated by this study will strengthen the National Malaria Control Programme's insecticide resistance management strategy to safeguard continued efficacy of IRS and other malaria control methods in Ethiopia. © 2017 The Author(s).",2017,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
70104," Lopes WDZ, et al. 2017."," W.D.Z. Lopes, R.M. Chiummo, L.F. Vettorato, D. de Castro Rodrigues, R.B. Sonada","The effectiveness of a fixed-dose combination pour-on formulation of 1.25% fipronil and 2.5% fluazuron against economically important ectoparasites and associated pharmacokinetics in cattle","The present work consisted of eight studies to evaluate the ectoparasiticidal spectrum and determine the pharmacokinetic parameters of a pour-on combination of fipronil 1.25 mg/kg + fluazuron 2.5 mg/kg for cattle against Rhipicephalus microplus, Haematobia irritans and the larvae of Dermatobia hominis and Cochliomyia hominivorax. The analysis fipronil and fluazuron were performed by liquid chromatography using a mass detector for the detection and quantification of analytes (LC-MS/MS). Additionally, in two of these studies, the animals were artificially infested with R. microplus ticks (stall tests), and the efficacy of this formulation was compared with that of two other standalone pour-on formulations of fipronil 1.0 mg/kg and fluazuron 2.5 mg/kg. In the two stall studies, 28 calves were artificially infested with 5000 R. microplus (different strains), and daily collections of all of the engorged female ticks that detached from each calf were performed until 60 and 100 days post-treatment (dpt). For the R. microplus field trials, 20 bovines were selected by counting the semi-engorged females, and the therapeutic and residual efficacy was evaluated by taking tick counts at 3, 7, 14, 21, 28, 35, 42, 49 and 56 dpt. Forty bovines that were naturally infested with Dermatobia hominis larvae were selected, and the numbers of larvae were counted by visual and tactile inspection on 3, 7, 14, 28, 35, 42 and 49 dpt. To address the efficacy on C. hominivorax larvae, two circular skin incisions (one on each side of the body) measuring approximately 4 cm in diameter each were made in 12 crossbred calves, and the natural exposure of the lesions to C. hominivorax infestations was then allowed. The incisions from the 12 animals were carefully examined daily from 1 to 10 dpt. Based on the PK results obtained for this pour-on combination containing fipronil 1.25 mg/kg + fluazuron 2.5 mg/kg, the maximum concentrations (Cmax) and the half-lives (T1/2) of these two active ingredients were detected on days 2, 5/6 and 19 (± 2)/24, 4 (± 3.5) days for fipronil and fluazuron, respectively. Furthermore, the combination showed higher therapeutic and residual efficacy against R. microplus (P ≤ 0.05) when compared with commercial standalone formulations that were administered separately. A high efficacy for this new combination was also found against C. hominivorax and D. hominis larvae (efficacy ≥ 99%). This study's results show that the combination of these two active ingredients, as opposed to their separate use, could represent a tool for extending the life cycle of these two molecules against cattle ectoparasites, especially R. microplus. Further studies would be desirable to further confirm this. © 2017 Elsevier B.V.",2017,Fernanda.dorea,4,"Not applicable (vector study)","Cattle (Bos taurus)"
70115," Suter T, et al. 2017."," T. Suter, M.M. Crespo, M.F. De Oliveira, T.S.A. De Oliveira, M.A.V. De Melo-Santos, C.M.F. De Oliveira, C.F.J. Ayres, R.M.R. Barbosa, A.P. Araújo, L.N. Regis, E. Flacio, L. Engeler, P. Müller, M.H.N.L. Silva-Filha","Insecticide susceptibility of Aedes albopictus and Ae. aegypti from Brazil and the Swiss-Italian border region","Background: Aedes aegypti and Ae. albopictus are two highly invasive mosquito species, both vectors of several viruses, including dengue, chikungunya and Zika. While Ae. aegypti is the primary vector in the tropics and sub-tropics, Ae. albopictus is increasingly under the public health watch as it has been implicated in arbovirus-transmission in more temperate regions, including continental Europe. Vector control using insecticides is the pillar of most control programmes; hence development of insecticide resistance is of great concern. As part of a Brazilian-Swiss Joint Research Programme we set out to assess whether there are any signs of existing or incipient insecticide resistance primarily against the larvicide Bacillus thuringiensis svar. israelensis (Bti), but also against currently applied and potentially alternative insecticides in our areas, Recife (Brazil) and the Swiss-Italian border region. Methods: Following World Health Organization guidelines, dose-response curves for a range of insecticides were established for both colonized and field caught Ae. aegypti and Ae. albopictus. The larvicides included Bti, two of its toxins, Cry11Aa and Cry4Ba, Lysinibacillus sphaericus, Vectomax CG®, a formulated combination of Bti and L. sphaericus, and diflubenzuron. In addition to the larvicides, the Swiss-Italian Ae. albopictus populations were also tested against five adulticides (bendiocarb, dichlorodiphenyltrichloroethane, malathion, permethrin and λ-cyhalothrin). Results: Showing a similar dose-response, all mosquito populations were fully susceptible to the larvicides tested and, in particular, to Bti which is currently used both in Brazil and Switzerland. In addition, there were no signs of incipient resistance against Bti as larvae were equally susceptible to the individual toxins, Cry11Aa and Cry4Ba. The field-caught Swiss-Italian populations were susceptible to the adulticides tested but DDT mortality rates showed signs of reduced susceptibility. Conclusions: The insecticides currently used for mosquito control in Switzerland and Brazil are still effective against the target populations. The present study provides an important reference as relatively few insecticide susceptibility surveys have been carried out with Ae. albopictus. © 2017 The Author(s).",2017,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
